,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
59,0.611,0.179,4,-15.977,1,0.0488,0.918,0.0,0.109,0.556,133.073,audio_features,4h0igWYayzteBtSNpWYQ9h,spotify:track:4h0igWYayzteBtSNpWYQ9h,https://api.spotify.com/v1/tracks/4h0igWYayzteBtSNpWYQ9h,https://api.spotify.com/v1/audio-analysis/4h0igWYayzteBtSNpWYQ9h,138080,4
60,0.549,0.478,5,-3.756,1,0.0286,0.82,0.0,0.356,0.748,104.302,audio_features,7te9DUttzNePdSlkIgSTdz,spotify:track:7te9DUttzNePdSlkIgSTdz,https://api.spotify.com/v1/tracks/7te9DUttzNePdSlkIgSTdz,https://api.spotify.com/v1/audio-analysis/7te9DUttzNePdSlkIgSTdz,178285,3
61,0.485,0.184,0,-13.972,1,0.0284,0.746,0.221,0.121,0.494,80.445,audio_features,1fazjcfV0fNI14sB1ohQjk,spotify:track:1fazjcfV0fNI14sB1ohQjk,https://api.spotify.com/v1/tracks/1fazjcfV0fNI14sB1ohQjk,https://api.spotify.com/v1/audio-analysis/1fazjcfV0fNI14sB1ohQjk,154307,4
62,0.567,0.279,10,-11.763,1,0.0377,0.693,0.289,0.096,0.764,87.581,audio_features,70gZnClysSHCBwI0H4qr5O,spotify:track:70gZnClysSHCBwI0H4qr5O,https://api.spotify.com/v1/tracks/70gZnClysSHCBwI0H4qr5O,https://api.spotify.com/v1/audio-analysis/70gZnClysSHCBwI0H4qr5O,146093,4
63,0.585,0.336,2,-14.508,1,0.0351,0.445,0.0419,0.543,0.69,82.346,audio_features,5FmcPdb3X0v7otb7GkUSkm,spotify:track:5FmcPdb3X0v7otb7GkUSkm,https://api.spotify.com/v1/tracks/5FmcPdb3X0v7otb7GkUSkm,https://api.spotify.com/v1/audio-analysis/5FmcPdb3X0v7otb7GkUSkm,104227,4
64,0.528,0.263,11,-15.26,1,0.0357,0.656,2.59e-06,0.192,0.569,138.437,audio_features,2VqsUEpRPvgiiBdsBuQrJz,spotify:track:2VqsUEpRPvgiiBdsBuQrJz,https://api.spotify.com/v1/tracks/2VqsUEpRPvgiiBdsBuQrJz,https://api.spotify.com/v1/audio-analysis/2VqsUEpRPvgiiBdsBuQrJz,157280,3
65,0.441,0.33,0,-11.186,1,0.0301,0.875,0.0,0.31,0.726,78.744,audio_features,60tEaPHRJLnMzbyOPTeh3A,spotify:track:60tEaPHRJLnMzbyOPTeh3A,https://api.spotify.com/v1/tracks/60tEaPHRJLnMzbyOPTeh3A,https://api.spotify.com/v1/audio-analysis/60tEaPHRJLnMzbyOPTeh3A,159920,4
66,0.359,0.272,10,-8.393,1,0.0294,0.812,0.0,0.095,0.254,109.249,audio_features,1ntGJDSakqsaw1KhptKrB5,spotify:track:1ntGJDSakqsaw1KhptKrB5,https://api.spotify.com/v1/tracks/1ntGJDSakqsaw1KhptKrB5,https://api.spotify.com/v1/audio-analysis/1ntGJDSakqsaw1KhptKrB5,167800,3
67,0.697,0.55,2,-11.496,1,0.18,0.856,3.44e-05,0.0907,0.844,84.802,audio_features,01u6AEzGbGbQyYVdxajxqk,spotify:track:01u6AEzGbGbQyYVdxajxqk,https://api.spotify.com/v1/tracks/01u6AEzGbGbQyYVdxajxqk,https://api.spotify.com/v1/audio-analysis/01u6AEzGbGbQyYVdxajxqk,122893,4
68,0.358,0.0378,9,-17.541,1,0.0449,0.914,0.000242,0.109,0.243,82.755,audio_features,7LSGjWtza5Y8itm6Cpbj1s,spotify:track:7LSGjWtza5Y8itm6Cpbj1s,https://api.spotify.com/v1/tracks/7LSGjWtza5Y8itm6Cpbj1s,https://api.spotify.com/v1/audio-analysis/7LSGjWtza5Y8itm6Cpbj1s,162413,4
69,0.654,0.498,4,-11.392,1,0.0358,0.759,0.000733,0.0811,0.922,140.093,audio_features,084mnrInuL8H1JZbIzuH3T,spotify:track:084mnrInuL8H1JZbIzuH3T,https://api.spotify.com/v1/tracks/084mnrInuL8H1JZbIzuH3T,https://api.spotify.com/v1/audio-analysis/084mnrInuL8H1JZbIzuH3T,146040,4
70,0.58,0.681,3,-9.429,0,0.0583,0.827,0.0,0.164,0.831,120.123,audio_features,3nmKGD8CoBOYRcuG6c3iw3,spotify:track:3nmKGD8CoBOYRcuG6c3iw3,https://api.spotify.com/v1/tracks/3nmKGD8CoBOYRcuG6c3iw3,https://api.spotify.com/v1/audio-analysis/3nmKGD8CoBOYRcuG6c3iw3,152773,4
71,0.728,0.606,8,-10.073,1,0.0847,0.0892,3.87e-06,0.102,0.129,112.018,audio_features,53Twix2laakfedihbu7GkK,spotify:track:53Twix2laakfedihbu7GkK,https://api.spotify.com/v1/tracks/53Twix2laakfedihbu7GkK,https://api.spotify.com/v1/audio-analysis/53Twix2laakfedihbu7GkK,163136,4
72,0.664,0.731,11,-7.84,0,0.0779,0.718,5.95e-06,0.216,0.661,90.054,audio_features,3SNEFR9U8CCEUN3iZfkVgW,spotify:track:3SNEFR9U8CCEUN3iZfkVgW,https://api.spotify.com/v1/tracks/3SNEFR9U8CCEUN3iZfkVgW,https://api.spotify.com/v1/audio-analysis/3SNEFR9U8CCEUN3iZfkVgW,135173,4
73,0.75,0.481,9,-12.884,1,0.106,0.897,0.0,0.177,0.75,117.959,audio_features,0rvQGHLd67prV6eYat1ZX4,spotify:track:0rvQGHLd67prV6eYat1ZX4,https://api.spotify.com/v1/tracks/0rvQGHLd67prV6eYat1ZX4,https://api.spotify.com/v1/audio-analysis/0rvQGHLd67prV6eYat1ZX4,153307,4
74,0.624,0.468,10,-12.162,1,0.132,0.881,6.35e-06,0.144,0.952,74.139,audio_features,5ueyLj6e6oVaTY0KQ6yLaA,spotify:track:5ueyLj6e6oVaTY0KQ6yLaA,https://api.spotify.com/v1/tracks/5ueyLj6e6oVaTY0KQ6yLaA,https://api.spotify.com/v1/audio-analysis/5ueyLj6e6oVaTY0KQ6yLaA,117080,4
75,0.571,0.196,3,-13.216,1,0.0278,0.811,0.0,0.142,0.555,88.728,audio_features,1eqGYJJr2z2GXK1i0hD3BC,spotify:track:1eqGYJJr2z2GXK1i0hD3BC,https://api.spotify.com/v1/tracks/1eqGYJJr2z2GXK1i0hD3BC,https://api.spotify.com/v1/audio-analysis/1eqGYJJr2z2GXK1i0hD3BC,134560,4
