,track_id,decade,track_name,artist_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,zero_crossing_rate,duration_ms,time_signature,genres
23,0mRAY4VhmgEsBvLEFxB6Vm,1950,Here In My Heart,Al Martino,0.177,0.27899999999999997,9,-10.950999999999999,0,0.0312,0.8,0.0024,0.153,0.155,82.96700000000001,0.10422171984096197,193373,3,spoken word
24,2CFMsXx3SRAetoYdtEZNgg,1950,Delicado,Percy Faith,0.498,0.812,4,-8.017999999999999,1,0.0319,0.743,0.711,0.10099999999999999,0.8340000000000001,99.406,0.08701118965267028,172613,4,"['adult standards', 'ballroom', 'easy listening', 'lounge']"
25,3rIhZKroSQQjNcgGQsdaJF,1950,Auf Wiederseh'n Sweetheart - 2017 Version,Vera Lynn,0.149,0.13699999999999998,8,-15.349,1,0.0326,0.846,1.9600000000000002e-05,0.23199999999999998,0.253,82.853,0.08767091737781225,160347,3,vocal pop
26,7AsR2HcqozArM3uDii35xX,1950,You Belong To Me,Jo Stafford,0.23800000000000002,0.14300000000000002,5,-14.417,1,0.0342,0.953,0.0,0.11599999999999999,0.165,68.696,0.07036136600562451,194173,3,vocal
27,4cS2Ya30FLHqNb3hwbtjrJ,1950,I Went To Your Wedding,Patti Page,0.53,0.0853,0,-12.222999999999999,1,0.0327,0.927,0.0,0.126,0.11199999999999999,78.372,0.09736987247866563,194373,3,vocal
28,67HAs4WdVmQl4H8AvMDCVB,1950,Rock & Roll Must Go (It's in the Book),Johnny Standley,0.602,0.603,0,-8.029,1,0.87,0.735,0.0,0.848,0.233,115.219,0.10232440015479877,183720,4,['deep adult standards']
29,4DD6qTLKWCVZl5fAZDVWOo,1950,Why Don't You Believe Me,Joni James,0.779,0.19399999999999998,0,-14.595999999999998,1,0.0323,0.7090000000000001,8.31e-05,0.0574,0.39,93.24799999999999,0.07034197827979878,208800,4,"['adult standards', 'deep adult standards', 'easy listening']"
30,15sxLiiChE5dCW3Y756oas,1950,I Saw Mommy Kissing Santa Claus,Jimmy Boyd,0.583,0.7120000000000001,3,-8.222000000000001,1,0.0538,0.263,1.02e-06,0.8170000000000001,0.614,128.89700000000002,0.11391272001066717,181267,4,holiday
31,2cwTVrrgHxl4gcHY4IHr18,1950,Don't Let The Stars Get In Your Eyes,Perry Como,0.8079999999999999,0.42100000000000004,8,-12.533,1,0.042,0.809,0.0,0.0724,0.963,122.75200000000001,0.08675873464106038,160773,4,"['adult standards', 'brill building pop', 'easy listening', 'lounge', 'vocal jazz']"
32,0as1riy7crAcnNYnWaxEub,1950,Till I Waltz Again with You,Teresa Brewer,0.402,0.9470000000000001,7,-6.649,1,0.0556,0.0171,0.0351,0.23399999999999999,0.927,169.266,0.0995269869872291,165735,4,"['adult standards', 'deep adult standards']"
33,7bs4wDnaX0z7BTeM6lTcYA,1950,(How Much Is That) Doggie In The Window,Patti Page,0.691,0.0734,7,-13.319,1,0.0434,0.843,0.0,0.105,0.675,126.103,0.06357240048002327,149627,4,country
34,6u4RHQpFXlz5iq4Hm0XyrY,1950,The Song from Moulin Rouge (Where Is Your Heart),Percy Faith,0.17,0.28800000000000003,5,-11.959000000000001,1,0.0309,0.7170000000000001,0.0,0.14800000000000002,0.33899999999999997,94.82600000000001,0.09800129704431114,143200,1,"['adult standards', 'ballroom', 'easy listening', 'lounge']"
35,2FqOLG4ViICqhx35v8xoBx,1950,I'm Walking Behind You,Eddie Fisher,0.28800000000000003,0.132,2,-14.057,1,0.0318,0.875,0.0,0.0759,0.262,82.81299999999999,0.0993154213537626,185827,4,"['adult standards', 'deep adult standards', 'easy listening', 'lounge']"
36,3qhxI5f7klTVfK0iWYmKdM,1950,Vaya Con Dios,Les Paul,0.645,0.165,4,-14.859000000000002,1,0.0329,0.9179999999999999,0.000308,0.0829,0.19899999999999998,96.822,0.09381629109290147,174600,3,country
37,3q7cXyhLWyYgf5uxZPW9w2,1950,St. George and the Dragon,Stan Freberg,0.625,0.522,5,-10.345,1,0.035,0.049,3.14e-05,0.0991,0.745,119.557,0.11790782822174922,284907,4,"['comic', 'parody']"
38,3eNieNIpOWOAUr0f50DCqL,1950,Rags to Riches (with Romeo Santos),Tony Bennett,0.504,0.4,0,-7.934,1,0.0339,0.447,0.0,0.135,0.48200000000000004,78.668,0.101889406564435,159240,4,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
39,0EIEvpiVxoXEn5GZWvG1RT,1950,Oh! My Pa-Pa (O Mein Papa) - 2001 Remastered,Eddie Fisher,0.425,0.188,10,-9.927,1,0.0289,0.863,0.0,0.34700000000000003,0.502,97.04799999999999,0.11402954479489165,185627,4,"['adult standards', 'deep adult standards', 'easy listening', 'lounge']"
40,7Hig0uoQDKT1eMVA62sTzd,1950,Secret Love,Doris Day,0.301,0.14,11,-15.398,1,0.0369,0.9840000000000001,0.033,0.149,0.14300000000000002,132.701,0.09590115857198142,215947,4,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
41,1FxxgBVRMCTMqdgEBZIBaI,1950,Make Love To Me,Jo Stafford,0.616,0.5579999999999999,5,-7.377000000000001,1,0.0295,0.185,0.0,0.191,0.324,93.946,0.11187890928044997,305307,4,easy listening
42,77i95B3GcC2aOqK70RHM0m,1950,Wanted (with Henri René & His Orchestra and Chorus),Perry Como,0.32299999999999995,0.185,1,-11.220999999999998,0,0.0313,0.92,3.65e-06,0.337,0.387,74.718,0.09515361963041796,185093,4,"['adult standards', 'brill building pop', 'easy listening', 'lounge', 'vocal jazz']"
43,221XgJXCVkZ1ERPyfO3OlO,1950,Little Things Mean A Lot,Kitty Kallen,0.342,0.375,9,-10.012,1,0.0322,0.838,0.00229,0.0821,0.585,81.084,0.052899155716640806,223053,3,pop
44,7G2jAmiYUDZKyk7npVrgX8,1950,Sh-Boom,The Crew Cuts,0.67,0.24,2,-12.158,0,0.0697,0.863,0.0,0.231,0.578,130.205,0.09053052572245927,168893,4,vocal
45,4YQU4nreaVr16nDq1uaI0E,1950,Hey There,Rosemary Clooney,0.55,0.20800000000000002,8,-14.338,1,0.0588,0.46,0.0,0.125,0.414,120.505,0.05076193088149728,160280,4,"['adult standards', 'easy listening', 'lounge', 'swing', 'torch song', 'vocal jazz']"
46,3reMY0PF49alfXMs30c2z4,1950,This Ole House - Single Version,Rosemary Clooney,0.6890000000000001,0.723,0,-8.079,1,0.0483,0.755,0.0,0.248,0.9620000000000001,105.913,0.11299326988196595,142267,4,"['adult standards', 'easy listening', 'lounge', 'swing', 'torch song', 'vocal jazz']"
47,0gxpt81ZzaX0x72k1NOojB,1950,I Need You Now - 2001 Remastered,Eddie Fisher,0.6,0.20199999999999999,0,-11.020999999999999,1,0.0329,0.903,0.0,0.35,0.74,118.22399999999999,0.07104718943498453,149093,3,"['adult standards', 'deep adult standards', 'easy listening', 'lounge']"
48,3zopUGxKy1Uz4cKtDGjZry,1950,Mr. Sandman - 1954 #1 Billboard chart hit,The Chordettes,0.623,0.315,9,-12.321,1,0.0475,0.7090000000000001,0.0,0.0874,0.625,110.38,0.0811453898993808,143133,4,pop
49,2ghmhqUMZ4Z2GqpwrH8yLj,1950,"Let Me Go, Lover!",Joan Weber,0.272,0.135,10,-13.082,1,0.0339,0.958,1.42e-05,0.258,0.23600000000000002,76.169,0.09458223732059737,184427,3,pop
50,50Dq4YN1RoHWl8l16jjM2W,1950,Hearts Of Stone,The Fontane Sisters,0.162,0.61,7,-12.110999999999999,0,0.0627,0.13,0.128,0.106,0.0601,139.974,0.1023856242743808,173571,3,"['deep adult standards', 'vocal harmony group']"
51,50AhgOXYVm9ASB6PlKdKk0,1950,Sincerely,The McGuire Sisters,0.46399999999999997,0.226,1,-8.817,1,0.0256,0.777,0.0,0.10800000000000001,0.635,75.443,0.09623534777443757,178800,4,pop
52,5ZmGoux6Pu8rtfjBWtLR7w,1950,"The Ballad of Davy Crockett - From ""Frontierland""",Bill Hayes,0.828,0.21600000000000003,4,-12.177,1,0.0699,0.691,0.0,0.17,0.711,139.149,0.07743708785880528,101213,4,pop
53,5HisVcYPaIB4uHdrnW6HCt,1950,Cherry Pink And Apple Blossom White,Pérez Prado,0.51,0.344,3,-13.14,1,0.0454,0.517,0.754,0.107,0.7070000000000001,118.274,0.14871225268479102,189640,4,"['bolero', 'latin jazz', 'mambo', 'space age pop']"
54,42yP5D36DoJ7cKKnhnwOZp,1950,(We're Gonna) Rock Around The Clock - Single Version,Bill Haley & His Comets,0.682,0.846,1,-6.345,0,0.218,0.21600000000000003,1.82e-06,0.051,0.7609999999999999,180.648,0.012878229005417956,131827,4,drama
55,7985fUI9WlsIIrQuO9TBDh,1950,The Yellow Rose of Texas - Single Version,Mitch Miller,0.7879999999999999,0.878,8,-8.834,1,0.040999999999999995,0.835,8.79e-06,0.0892,0.929,100.064,0.11119358310758512,181067,4,"['adult standards', 'easy listening']"
56,23G8P94lKwgXNAKH2z5VP8,1950,Love Is a Many-Splendored Thing,The Four Aces,0.429,0.13,0,-15.57,0,0.0319,0.934,0.94,0.124,0.18899999999999997,85.193,0.04830545242356811,163379,4,"['adult standards', 'brill building pop', 'deep adult standards', 'easy listening', 'lounge', 'vocal harmony group']"
57,4AyqwjnbbWfFLPKL4UUSzU,1950,Autumn Leaves,Roger Williams,0.35700000000000004,0.193,2,-20.505,0,0.0334,0.972,0.904,0.107,0.233,107.006,0.05530268134212568,181867,4,new age
58,4KM77RUl2IKdXGhtOBbKIS,1950,Sixteen Tons,Tennessee Ernie Ford,0.667,0.25,11,-18.533,1,0.217,0.757,0.0,0.25,0.41200000000000003,144.145,0.12017666008048875,155902,4,country
59,4h0igWYayzteBtSNpWYQ9h,1950,Memories Are Made Of This,Dean Martin,0.611,0.179,4,-15.977,1,0.0488,0.9179999999999999,0.0,0.109,0.556,133.07299999999998,0.040366351095810715,138080,4,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
60,7te9DUttzNePdSlkIgSTdz,1950,Rock And Roll Waltz,Kay Starr,0.5489999999999999,0.478,5,-3.7560000000000002,1,0.0286,0.82,0.0,0.35600000000000004,0.748,104.302,0.12775810879450464,178285,3,"['adult standards', 'big band', 'deep adult standards', 'easy listening', 'lounge', 'torch song', 'vocal jazz']"
61,1fazjcfV0fNI14sB1ohQjk,1950,Lisbon Antigua - Remastered,Nelson Riddle,0.485,0.184,0,-13.972000000000001,1,0.0284,0.746,0.221,0.121,0.494,80.445,0.05264762836986036,154307,4,pop
62,70gZnClysSHCBwI0H4qr5O,1950,The Poor People Of Paris (Jean's Song) - Single Version,Les Baxter,0.5670000000000001,0.27899999999999997,10,-11.763,1,0.0377,0.693,0.289,0.096,0.764,87.581,0.08487760012606672,146093,4,pop
63,5FmcPdb3X0v7otb7GkUSkm,1950,Heartbreak Hotel - Live,Elvis Presley,0.585,0.336,2,-14.508,1,0.0351,0.445,0.0419,0.5429999999999999,0.69,82.346,0.08929953560371517,104227,4,"['rock-and-roll', 'rockabilly']"
64,2VqsUEpRPvgiiBdsBuQrJz,1950,The Wayward Wind,Gogi Grant,0.528,0.263,11,-15.26,1,0.0357,0.6559999999999999,2.59e-06,0.192,0.569,138.437,0.09740530669504643,157280,3,deep adult standards
65,60tEaPHRJLnMzbyOPTeh3A,1950,"I Want You, I Need You, I Love You",Elvis Presley,0.441,0.33,0,-11.186,1,0.0301,0.875,0.0,0.31,0.726,78.744,0.08347379607681889,159920,4,"['rock-and-roll', 'rockabilly']"
66,1ntGJDSakqsaw1KhptKrB5,1950,My Prayer,The Platters,0.359,0.272,10,-8.392999999999999,1,0.0294,0.812,0.0,0.095,0.254,109.249,0.07797158347071373,167800,3,r&b/soul
67,01u6AEzGbGbQyYVdxajxqk,1950,Don't Be Cruel,Elvis Presley,0.6970000000000001,0.55,2,-11.495999999999999,1,0.18,0.856,3.4399999999999996e-05,0.0907,0.8440000000000001,84.802,0.07724443087267803,122893,4,"['rock-and-roll', 'rockabilly']"
68,7LSGjWtza5Y8itm6Cpbj1s,1950,Love Me Tender,Elvis Presley,0.358,0.0378,9,-17.541,1,0.0449,0.914,0.000242,0.109,0.243,82.755,0.0348637347619969,162413,4,"['rock-and-roll', 'rockabilly']"
69,084mnrInuL8H1JZbIzuH3T,1950,Singing the Blues,Guy Mitchell,0.654,0.498,4,-11.392000000000001,1,0.0358,0.759,0.000733,0.0811,0.922,140.093,0.12319577810565015,146040,4,"['adult standards', 'brill building pop', 'deep adult standards', 'lounge', 'rock-and-roll']"
70,3nmKGD8CoBOYRcuG6c3iw3,1950,Too Much,Elvis Presley,0.58,0.6809999999999999,3,-9.429,0,0.0583,0.8270000000000001,0.0,0.16399999999999998,0.831,120.12299999999999,0.1162732953995743,152773,4,"['rock-and-roll', 'rockabilly']"
71,53Twix2laakfedihbu7GkK,1950,Young Love,Tab Hunter,0.728,0.606,8,-10.073,1,0.0847,0.0892,3.87e-06,0.102,0.129,112.01799999999999,0.0735486860245743,163136,4,['deep adult standards']
72,3SNEFR9U8CCEUN3iZfkVgW,1950,Party Doll,Buddy Knox,0.664,0.731,11,-7.84,0,0.0779,0.718,5.95e-06,0.21600000000000003,0.6609999999999999,90.054,0.0884612942627709,135173,4,"['deep adult standards', 'doo-wop', 'rhythm and blues', 'rock-and-roll', 'rockabilly']"
73,0rvQGHLd67prV6eYat1ZX4,1950,Round And Round - Remastered - 1992,Perry Como,0.75,0.48100000000000004,9,-12.884,1,0.106,0.897,0.0,0.177,0.75,117.959,0.1132045308871904,153307,4,"['adult standards', 'brill building pop', 'easy listening', 'lounge', 'vocal jazz']"
74,5ueyLj6e6oVaTY0KQ6yLaA,1950,All Shook Up,Elvis Presley,0.624,0.46799999999999997,10,-12.162,1,0.132,0.8809999999999999,6.35e-06,0.14400000000000002,0.9520000000000001,74.139,0.07263296971749228,117080,4,"['rock-and-roll', 'rockabilly']"
75,1eqGYJJr2z2GXK1i0hD3BC,1950,Love Letters In The Sand - Single Version,Pat Boone,0.5710000000000001,0.196,3,-13.216,1,0.0278,0.8109999999999999,0.0,0.142,0.555,88.728,0.06220263709755625,134560,4,"['adult standards', 'brill building pop', 'easy listening', 'lounge', 'rock-and-roll', 'rockabilly']"
76,4FjkmQ9JYaIeh1NxeLEO80,1950,(Let Me Be Your) Teddy Bear,Elvis Presley,0.723,0.621,9,-7.434,0,0.10800000000000001,0.736,0.0,0.297,0.932,88.73299999999999,0.10915240119485294,106627,4,"['rock-and-roll', 'rockabilly']"
77,4O7gi7IulJLUFSkAOHosFV,1950,Tammy,Debbie Reynolds,0.14,0.19699999999999998,8,-15.549000000000001,1,0.0388,0.632,3.87e-06,0.129,0.22899999999999998,80.577,0.09655619666408068,183533,1,vocal
78,6PwgMjWyQJBryRlXiPVXDM,1950,Anka Medley: Diana / Put Your Head on My Shoulders / Lonely Boy / Puppy Love / A Steel Guitar and a Glass of Wine / You Are My Destiny,Paul Anka,0.361,0.312,5,-13.635,1,0.187,0.573,0.0,0.97,0.409,73.6,0.1404742072610294,263000,4,"['adult standards', 'brill building pop', 'canadian pop', 'easy listening', 'lounge', 'rock-and-roll']"
79,5QhTqiCkc69dOlTOK1cj4p,1950,That'll Be The Day - Single Version,The Crickets,0.67,0.537,9,-9.453,1,0.0335,0.36700000000000005,0.0,0.319,0.9109999999999999,126.68299999999999,0.12360372018037237,135800,4,rock & roll
80,7MqkjX5YCXhazcaAlHvPmJ,1950,Honeycomb - Single Version,Jimmie Rodgers,0.552,0.46299999999999997,2,-11.568,1,0.106,0.608,0.0,0.32299999999999995,0.909,198.372,0.11143999129256968,137107,4,brill building pop
81,11fNLqDB47gMKj7BHhR2Qr,1950,Wake up Little Susie,The Everly Brothers,0.7090000000000001,0.62,2,-9.382,1,0.034,0.318,0.0,0.0426,0.9359999999999999,93.723,0.1083844542134288,123520,4,"['adult standards', 'brill building pop', 'bubblegum pop', 'folk rock', 'mellow gold', 'rock-and-roll', 'rockabilly', 'sunshine pop']"
82,4gphxUgq0JSFv2BCLhNDiE,1950,Jailhouse Rock,Elvis Presley,0.647,0.5820000000000001,10,-9.538,0,0.0755,0.41,1.93e-06,0.0715,0.915,167.396,0.13640469294214394,146480,4,"['rock-and-roll', 'rockabilly']"
83,5aivQ5CkXXHJoMLy0o92HL,1950,You Send Me,Sam Cooke,0.5770000000000001,0.254,4,-10.13,0,0.0302,0.915,0.0,0.136,0.47200000000000003,96.77,0.06008844995646285,162467,4,"['adult standards', 'brill building pop', 'classic soul', 'rock-and-roll', 'soul']"
84,5ax1MN2MGW0ZJXquCkpuLM,1950,April Love,Pat Boone,0.38799999999999996,0.16899999999999998,8,-14.834000000000001,1,0.032,0.828,0.0135,0.0812,0.498,91.323,0.051967671159813815,161200,1,"['adult standards', 'brill building pop', 'easy listening', 'lounge', 'rock-and-roll', 'rockabilly']"
85,4LcrHUkRmXG3c0YD5VYutn,1950,At The Hop,Danny & The Juniors,0.40700000000000003,0.826,8,-8.29,1,0.0495,0.693,1.57e-05,0.285,0.8909999999999999,192.21,0.17256821542862685,150867,4,pop
86,0nKb6gYFt0jgs6c2nmqvSm,1950,Don't Ask Me Why,Elvis Presley,0.42700000000000005,0.18100000000000002,10,-14.177,1,0.0462,0.97,0.0,0.133,0.281,79.967,0.05947469705398607,126573,5,"['rock-and-roll', 'rockabilly']"
87,2gWAdYak6pGXWDG9phdesr,1950,Too Much Tequila,The Champs,0.8109999999999999,0.546,5,-8.516,1,0.0462,0.716,0.32799999999999996,0.124,0.9390000000000001,114.115,0.14250896442047215,135107,4,"['rock-and-roll', 'rockabilly']"
88,3MpGQae6zAFd7Z1FdLV9fV,1950,Twilight Time - Single Version,The Platters,0.455,0.361,9,-12.562000000000001,1,0.0473,0.747,0.0,0.23800000000000002,0.285,115.854,0.08163767031128782,168293,3,r&b/soul
89,4kovpzSYYoguJxUXQesQ13,1950,Witch Doctor,David Seville,0.627,0.624,7,-5.659,1,0.0482,0.726,0.0,0.146,0.897,139.305,0.09755609943401702,145360,4,novelty
90,7dblNGnRXEBrVJunazs2U5,1950,All I Have to Do Is Dream,The Everly Brothers,0.534,0.462,4,-8.172,1,0.0266,0.8390000000000001,0.0,0.129,0.534,96.195,0.0834080368372678,143333,4,"['adult standards', 'brill building pop', 'bubblegum pop', 'folk rock', 'mellow gold', 'rock-and-roll', 'rockabilly', 'sunshine pop']"
