,track_id,decade,track_name,artist_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,C,C#,D,D#,E,F,F#,G,G#,A,A#,B,genres
0,6ymkab3FTjiFzSJwhal59m,1950,Rudolph The Red-Nosed Reindeer,Gene Autry,0.596,0.315,8,-9.175,1,0.0428,0.961,0.0,0.258,0.64,119.935,171773,4,1732.700329521321,1976.4179585612171,3299.0069973089608,0.08014744654286267,-233.23302945346612,117.78439085378706,-9.914331167158752,29.593986392746487,14.37148550272864,1.2617720424061565,-6.1418163760308655,10.42193839017453,-14.463040118384033,0.486391177832785,0.9626831682390902,-0.056908543520439336,-3.613638443137765,9.516815907659314,-3.361298172394301,2.543237246379574,-1.5906069436596242,-0.6452868294707395,0.5835688683797693,-2.694958709938276,0.39314350128214987,0.3611117938778337,0.2881842154831969,0.3512555509445091,0.29311043273822834,0.28631477039250025,0.22467490277321134,0.3335729118055521,0.33730505351664203,0.2391544294648468,0.2877935461220745,0.2567429845353853,holiday
1,4oP8eYnsSKJPC4VNfPB7dZ,1950,"I Can Dream, Can't I? - Single Version",The Andrews Sisters,0.27,0.177,0,-9.791,1,0.0298,0.922,0.0,0.10400000000000001,0.237,87.37299999999999,160000,4,1938.7640580515167,2043.4906644851321,3734.490554845083,0.09032559154383243,-175.43875409279667,102.98205556998478,-17.257513047339955,20.428538120584992,-11.891560160359328,-7.28799716925362,4.090088552211141,-1.1491304579549533,-11.01907358632691,9.048974271808717,-15.640109910193287,3.410570941928665,-3.742532667544997,1.3963299499732968,-2.5012928216800154,-0.07590570625446091,-1.992995853120784,5.8550881696195995,0.7093118088448546,-1.3464103725435717,0.2601287533474631,0.2303197084385317,0.30954157787119096,0.25365531248138024,0.2432614484600136,0.1943172765670972,0.19624429923081607,0.2968410703963153,0.2978817412804542,0.3640287295287575,0.25549358471046185,0.2947509104958261,pop
2,0fVtEGoXeRhllDU9ChQAZl,1950,Rag Mop,The Ames Brothers,0.589,0.396,7,-13.58,1,0.237,0.705,0.0,0.10800000000000001,0.9790000000000001,200.533,159948,4,1473.4496938127766,1657.4531651438554,3049.281561411571,0.07387861600232197,-176.0256790530534,137.70503862627044,-28.247623376886338,43.840292327345196,-10.444447290529164,20.695050329293363,-3.791915402733464,0.08352585902243577,0.9139711783115272,9.6764936793384,0.07825867142299492,4.512813139147637,-4.654082275501585,9.536025419193923,3.82636731370934,2.6276110520981413,0.5721147886014449,-0.27537432710103343,-1.9730708713061436,-2.3512831412721265,0.2945227804387306,0.2948300539374569,0.417634213737546,0.28920654868428197,0.3642334040897677,0.2576406512945717,0.3177538199384052,0.41759339534525175,0.2863835052052498,0.4369178338577937,0.31809454797248565,0.3626181067887883,"['adult standards', 'deep adult standards', 'easy listening', 'vocal harmony group']"
3,7Jf323ttHKUnPylFWiaGl3,1950,Chattanoogie Shoe Shine Boy - 1949 Single Version,Red Foley,0.725,0.373,10,-15.925,1,0.0494,0.613,0.0202,0.11800000000000001,0.846,148.36700000000002,169000,4,1645.4973429556576,1772.441690345502,3272.8380580573603,0.06666838392164469,-212.5016103359989,129.75153402383378,-25.50391970004961,41.97165987646349,-6.389450584759419,17.067044919808374,-16.040133616211666,6.688895696747066,-2.8529487214426696,0.8966890184204449,-5.3367506158811215,1.596037882025627,2.9125195114639415,-3.1753272984268284,-0.3241167412226252,0.7423305377711709,-4.737735993137991,-2.403535956579524,-1.1445418952815591,-2.678809232142656,0.2565983072843983,0.28480129435597723,0.3815951352954616,0.30631524575721597,0.3635291096916888,0.4699695219073482,0.3462568364336071,0.3801346094813339,0.3260792503008755,0.3914432154991523,0.4193867125921429,0.28214459736266106,country
4,0lO5EKoz1Rb1pJoPoldE4D,1950,(Put Another Nickel In) Music! Music! Music!,Teresa Brewer,0.752,0.44299999999999995,2,-14.392000000000001,1,0.0398,0.667,2.11e-05,0.154,0.919,99.13600000000001,160667,4,2352.875708817152,2301.634767410079,4811.802219956119,0.11089628588052754,-153.9619121468861,91.61704556283232,-22.878960108445334,17.333831873885586,-9.858427691873533,5.68214109266023,-2.386624154865681,11.3146166913521,-3.242630797807615,9.784291581116856,-4.209345179761268,4.785483102370509,-3.587803735350163,3.025461546458783,-3.6114757045894486,-0.24449115450114284,-3.6919202162771385,-1.8141105845092824,-5.706012342320778,0.9007577279585124,0.2372678746987505,0.3177587673661388,0.44020922027733306,0.28139124245988384,0.4054442079412812,0.2279744403515961,0.3087109437978979,0.397538824089504,0.2622011584274465,0.3525141082587636,0.2086699412128652,0.3333897097443134,vocal
5,5qhM3qBHEIFvXL8xRe3dhb,1950,"If I Knew You Were Comin', I'd've Baked a Cake",Eileen Barton,0.727,0.287,8,-9.227,1,0.327,0.858,2.6e-06,0.057,0.922,170.17,159840,4,1906.264031307076,1887.20999629513,3517.1120658378477,0.11517957563370745,-115.3983488982183,115.12518874813887,-26.994461772054333,26.73496477587189,-12.856143355367546,3.3200061465755826,-5.020223880932972,-1.2833158524095647,0.4362401181994598,-2.4428782810590373,-5.438743419056054,-0.1772963666140499,-0.3872302635426432,1.474978670055644,-5.2137787662840145,-5.058925719717245,-3.985259754344892,-1.5484226457435182,-3.7900588600662224,0.4573161688991576,0.3792811697292808,0.3390972097730444,0.4566431323238164,0.2538155965019761,0.23246993967960355,0.4171101022293102,0.2553697662593089,0.4044270160449821,0.28812291261452183,0.35687590665794977,0.39153379808378863,0.2177384711552832,['deep adult standards']
6,6XzXeNu7FuUttdTwVl0rG1,1950,The Third Man: The Third Man Theme (The Third Man),Anton Karas,0.496,0.523,2,-11.517999999999999,1,0.0455,0.97,0.753,0.163,0.915,145.126,127613,3,1147.3403285451352,1298.8609500245175,2152.861981938129,0.0609727983504257,-162.57932181320774,173.18819754962817,-35.84977620007158,34.757209518915474,0.16356782529216604,8.840029243339043,-9.769376052505981,-3.597157740475226,-13.838207036711461,-7.79969699787746,-3.57989594542552,4.96285495832262,7.539266231501871,-1.4979856480940696,-6.3463173990057715,-8.783573862618804,-9.851083835264763,-4.084222242013055,3.822459891667228,6.802857231650813,0.19559258385820155,0.43631678237442856,0.6898873803772799,0.29989946312363297,0.178506525117319,0.20123805541577294,0.4223858550322106,0.35390574080264703,0.11801183998183247,0.1484979938624086,0.1419804595005293,0.20707924666241445,"['classic soundtrack', 'zither']"
7,5QZtX7pMnM6oF2vUKCc3U0,1950,Mona Lisa,Nat King Cole,0.253,0.306,0,-13.599,1,0.0418,0.903,0.00143,0.366,0.258,97.40100000000001,155640,4,1299.3597831309469,1480.9643782116918,2374.485641810178,0.06437489418053406,-217.31167586898616,156.15467638813627,-31.005905005351966,27.58852254493981,-12.92021546487307,-6.248873445420345,8.445053523452009,-6.198776803189587,7.738368179394535,-8.09370447863578,-3.2897732465907725,1.1948034976228488,-3.891387455427776,3.98308405249851,-5.473939807442539,-1.3378440776861755,-3.0263062430224394,-5.692633745532084,1.9732251724668155,-6.073027174545207,0.2916813188130164,0.21898102848560644,0.22215313004901266,0.1902327519699628,0.2574156491616669,0.2359625167176055,0.3071388075449795,0.4524766144461945,0.3558369846912305,0.3285608793044599,0.17976780054762345,0.21256091318819775,"['adult standards', 'vocal jazz']"
8,1fhLgOJgIIZEsWWffk8ljs,1950,Goodnight Irene,Gordon Jenkins & His Orchestra,0.335,0.255,5,-10.561,1,0.0277,0.843,0.0,0.26,0.556,141.158,202240,3,2044.7068660782488,2117.7856478228905,4195.474837416359,0.10017947839895268,-108.55750458397392,102.91470277864184,-15.605077869120493,38.29917094473915,-0.4865569871535658,4.815161458207261,-9.588051907732476,3.684953491866184,-5.023183155675118,-3.2591175919388085,-4.240441888433091,3.809849872208088,-0.15814553119325284,6.920988229945972,2.573682846714913,7.743452898669207,-3.435032289906009,0.3326085150851358,-5.874922737487638,-1.5279881540671894,0.40918468015094617,0.3291372587684569,0.2303823147871379,0.2549407890435386,0.2259203944300722,0.21686021064775654,0.2737177749367644,0.332185524059531,0.3135891367960135,0.2978125670742113,0.4221844362707074,0.3220377156997733,soundtrack
9,5eZPJFk9QBjBM1I2idumCM,1950,Harbor Lights,Sammy Kaye,0.46799999999999997,0.304,0,-13.005999999999998,1,0.034,0.737,0.18600000000000003,0.12,0.0963,122.60700000000001,357587,4,1319.7858655504442,1820.1524950901935,2441.5602362192817,0.05575741038602941,-136.56406607685105,149.1522605299879,5.738826096133671,8.578741281684785,4.603517706618871,-1.2388267831935516,-6.673784584849348,10.093081287774428,-15.098032344011353,3.3543132608888704,-6.640304965690848,-5.2933643047940535,-9.592155710593008,2.8217038476991148,-1.9103955440742144,0.20502088049755612,-9.465538856760826,-3.1341105352137353,-6.9765660782955505,-7.717362588721106,0.3627840496393776,0.29837453789417595,0.4479521708033818,0.23103413604574816,0.3389815911840475,0.21541351707535986,0.260507246907606,0.3705596999472086,0.3075141848096119,0.3930033498753035,0.22017446130929827,0.4108893128538829,"['big band', 'swing music', 'jazz']"
