,date
0,1950
1,1950
2,1950
3,1950
4,1950
5,1950
6,1950
7,1950
8,1950
9,1950
10,1950
11,1950
12,1951
13,1951
14,1951
15,1951
16,1951
17,1951
18,1951
19,1951
20,1951
21,1952
22,1952
23,1952
24,1952
25,1952
26,1952
27,1952
28,1952
29,1952
30,1952
31,1953
32,1953
33,1953
34,1953
35,1953
36,1953
37,1953
38,1953
39,1954
40,1954
41,1954
42,1954
43,1954
44,1954
45,1954
46,1954
47,1954
48,1954
49,1955
50,1955
51,1955
52,1955
53,1955
54,1955
55,1955
56,1955
57,1955
58,1955
59,1956
60,1956
61,1956
62,1956
63,1956
64,1956
65,1956
66,1956
67,1956
68,1956
69,1956
70,1957
71,1957
72,1957
73,1957
74,1957
75,1957
76,1957
77,1957
78,1957
79,1957
80,1957
81,1957
82,1957
83,1957
84,1957
85,1958
86,1958
87,1958
88,1958
89,1958
90,1958
91,1958
92,1958
93,1958
94,1958
95,1958
96,1958
97,1958
98,1958
99,1958
100,1958
101,1959
102,1959
103,1959
104,1959
105,1959
106,1959
107,1959
108,1959
109,1959
110,1959
111,1959
112,1959
113,1959
114,1959
115,1959
116,1960
117,1960
118,1960
119,1960
120,1960
121,1960
122,1960
123,1960
124,1960
125,1960
126,1960
127,1960
128,1960
129,1960
130,1960
131,1960
132,1960
133,1960
134,1960
135,1961
136,1961
137,1961
138,1961
139,1961
140,1961
141,1961
142,1961
143,1961
144,1961
145,1961
146,1961
147,1961
148,1961
149,1961
150,1961
151,1961
152,1961
153,1961
154,1961
155,1961
156,1962
157,1962
158,1962
159,1962
160,1962
161,1962
162,1962
163,1962
164,1962
165,1962
166,1962
167,1962
168,1962
169,1962
170,1962
171,1962
172,1962
173,1962
174,1962
175,1962
176,1963
177,1963
178,1963
179,1963
180,1963
181,1963
182,1963
183,1963
184,1963
185,1963
186,1963
187,1963
188,1963
189,1963
190,1963
191,1963
192,1963
193,1963
194,1963
195,1963
196,1964
197,1964
198,1964
199,1964
200,1964
201,1964
202,1964
203,1964
204,1964
205,1964
206,1964
207,1964
208,1964
209,1964
210,1964
211,1964
212,1964
213,1964
214,1964
215,1964
216,1964
217,1964
218,1964
219,1965
220,1965
221,1965
222,1965
223,1965
224,1965
225,1965
226,1965
227,1965
228,1965
229,1965
230,1965
231,1965
232,1965
233,1965
234,1965
235,1965
236,1965
237,1965
238,1965
239,1965
240,1965
241,1965
242,1965
243,1965
244,1966
245,1966
246,1966
247,1966
248,1966
249,1966
250,1966
251,1966
252,1966
253,1966
254,1966
255,1966
256,1966
257,1966
258,1966
259,1966
260,1966
261,1966
262,1966
263,1966
264,1966
265,1966
266,1966
267,1966
268,1966
269,1966
270,1966
271,1967
272,1967
273,1967
274,1967
275,1967
276,1967
277,1967
278,1967
279,1967
280,1967
281,1967
282,1967
283,1967
284,1967
285,1967
286,1967
287,1967
288,1967
289,1968
290,1968
291,1968
292,1968
293,1968
294,1968
295,1968
296,1968
297,1968
298,1968
299,1968
300,1968
301,1968
302,1968
303,1968
304,1969
305,1969
306,1969
307,1969
308,1969
309,1969
310,1969
311,1969
312,1969
313,1969
314,1969
315,1969
316,1969
317,1969
318,1969
319,1969
320,1970
321,1970
322,1970
323,1970
324,1970
325,1970
326,1970
327,1970
328,1970
329,1970
330,1970
331,1970
332,1970
333,1970
334,1970
335,1970
336,1970
337,1970
338,1970
339,1970
340,1970
341,1971
342,1971
343,1971
344,1971
345,1971
346,1971
347,1971
348,1971
349,1971
350,1971
351,1971
352,1971
353,1971
354,1971
355,1971
356,1971
357,1971
358,1971
359,1972
360,1972
361,1972
362,1972
363,1972
364,1972
365,1972
366,1972
367,1972
368,1972
369,1972
370,1972
371,1972
372,1972
373,1972
374,1972
375,1972
376,1972
377,1972
378,1972
379,1972
380,1973
381,1973
382,1973
383,1973
384,1973
385,1973
386,1973
387,1973
388,1973
389,1973
390,1973
391,1973
392,1973
393,1973
394,1973
395,1973
396,1973
397,1973
398,1973
399,1973
400,1973
401,1973
402,1973
403,1973
404,1973
405,1973
406,1973
407,1974
408,1974
409,1974
410,1974
411,1974
412,1974
413,1974
414,1974
415,1974
416,1974
417,1974
418,1974
419,1974
420,1974
421,1974
422,1974
423,1974
424,1974
425,1974
426,1974
427,1974
428,1974
429,1974
430,1974
431,1974
432,1974
433,1974
434,1974
435,1974
436,1974
437,1974
438,1974
439,1974
440,1974
441,1974
442,1975
443,1975
444,1975
445,1975
446,1975
447,1975
448,1975
449,1975
450,1975
451,1975
452,1975
453,1975
454,1975
455,1975
456,1975
457,1975
458,1975
459,1975
460,1975
461,1975
462,1975
463,1975
464,1975
465,1975
466,1975
467,1975
468,1975
469,1975
470,1975
471,1975
472,1975
473,1975
474,1975
475,1975
476,1975
477,1976
478,1976
479,1976
480,1976
481,1976
482,1976
483,1976
484,1976
485,1976
486,1976
487,1976
488,1976
489,1976
490,1976
491,1976
492,1976
493,1976
494,1976
495,1976
496,1976
497,1976
498,1976
499,1976
500,1976
501,1976
502,1976
503,1977
504,1977
505,1977
506,1977
507,1977
508,1977
509,1977
510,1977
511,1977
512,1977
513,1977
514,1977
515,1977
516,1977
517,1977
518,1977
519,1977
520,1977
521,1977
522,1977
523,1977
524,1977
525,1977
526,1977
527,1977
528,1977
529,1977
530,1977
531,1978
532,1978
533,1978
534,1978
535,1978
536,1978
537,1978
538,1978
539,1978
540,1978
541,1978
542,1978
543,1978
544,1978
545,1978
546,1978
547,1978
548,1978
549,1978
550,1979
