,artist,song,decade,track_id,preview_url,track_name,artist_name,artist_id,genres
16,Rosemary Clooney,Come On-a My House,1950,3GVyT9fBXuEkGs1STo2WHZ,https://p.scdn.co/mp3-preview/7fdfbe675d2c022daa3aa5c29b8fbe45073550a7?cid=b05f690e17ba4b758d92a214cfbc7f24,Come On-A My House,Rosemary Clooney,0NkyXWGxE3WTFixDSJ39PK,"['adult standards', 'easy listening', 'lounge', 'swing', 'torch song', 'vocal jazz']"
17,Tony Bennett,Because Of You,1950,4EcmCSEL77iVCdhylq0yG2,https://p.scdn.co/mp3-preview/50baec4ddcee6e896505867b6cf2f10e4d3a66c3?cid=b05f690e17ba4b758d92a214cfbc7f24,Because of You (with Percy Faith & His Orchestra),Tony Bennett,2lolQgalUvZDfp5vvVtTYV,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
18,Tony Bennett,"Cold, Cold Heart",1950,6V5kMW3vhcduEgFp5TPYsG,https://p.scdn.co/mp3-preview/b126783c93872fa50b809476e2a7453312ad617a?cid=b05f690e17ba4b758d92a214cfbc7f24,"Cold, Cold Heart (with Vicentico)",Tony Bennett,2lolQgalUvZDfp5vvVtTYV,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
19,Eddy Howard,Sin (It's No Sin),1950,4cyPBIYP1z47ZIdT7fgDxu,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview118/v4/8f/6d/b6/8f6db679-b996-e604-e947-1cf9934e56c5/mzaf_6882433225468808181.plus.aac.p.m4a,Sin (It's No) Sin,Eddy Howard,6Vb8yGTdhnyIbGS5evBxbF,jazz
20,Johnnie Ray,Cry,1950,4wnFpRgQu2gLN8d76dYOGr,https://p.scdn.co/mp3-preview/037c591f314a478c7e2d9a6ab7a4b3ee58cf3d40?cid=b05f690e17ba4b758d92a214cfbc7f24,Cry,Johnnie Ray,6SQKNCUKIWjR1pQ1U3PZZq,"['adult standards', 'brill building pop', 'deep adult standards', 'easy listening', 'lounge', 'rock-and-roll']"
21,Kay Starr,Wheel Of Fortune,1950,2FlDxXrsYrza7Mk98NCSIo,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview71/v4/a4/27/4a/a4274a40-6061-b0a4-d682-5cca4614ed31/mzaf_1359528897362296970.plus.aac.p.m4a,Wheel Of Fortune,Kay Starr,7rpf45DdbpweG51Acze45i,"['adult standards', 'big band', 'deep adult standards', 'easy listening', 'lounge', 'torch song', 'vocal jazz']"
22,Leroy Anderson,Blue Tango,1950,5eOP7g5BLBpmksOeoFn77Y,https://p.scdn.co/mp3-preview/dd64423e3a08e7ccd461f0169ac9fb8748bb0be4?cid=b05f690e17ba4b758d92a214cfbc7f24,Blue Tango,Leroy Anderson,5YhX2onn51M81v4dSZajlX,"['american modern classical', 'easy listening', 'space age pop']"
23,Al Martino,Here In My Heart,1950,0mRAY4VhmgEsBvLEFxB6Vm,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview62/v4/48/28/8c/48288ca1-0c0d-46b7-fe85-2a8261f8ad71/mzaf_8610108850403907334.plus.aac.p.m4a,Here In My Heart,Al Martino,7egNqIGRldMzifHoh8pib6,spoken word
24,Percy Faith,Delicado,1950,2CFMsXx3SRAetoYdtEZNgg,https://p.scdn.co/mp3-preview/c6e67982e894db70bdfd2676c75957d31b8165b5?cid=b05f690e17ba4b758d92a214cfbc7f24,Delicado,Percy Faith,6unIK8JFrGemCge3NIUDKE,"['adult standards', 'ballroom', 'easy listening', 'lounge']"
25,Vera Lynn,Auf Wiederseh'n Sweetheart,1950,3rIhZKroSQQjNcgGQsdaJF,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview128/v4/84/c9/49/84c94958-872b-451e-30bb-866ac0a1c4e5/mzaf_5576334028982374910.plus.aac.p.m4a,Auf Wiederseh'n Sweetheart - 2017 Version,Vera Lynn,2rJkmlVHePMo2gk0InTZRS,vocal pop
26,Jo Stafford,You Belong To Me,1950,7AsR2HcqozArM3uDii35xX,https://audio-ssl.itunes.apple.com/itunes-assets/Music/v4/e1/ac/bc/e1acbcc0-042d-b6e9-eba2-80c22698d07d/mzaf_7819257572171238596.plus.aac.p.m4a,You Belong To Me,Jo Stafford,1Jqk46QvzUn7SnwmTGX6Cw,vocal
27,Patti Page,I Went To Your Wedding,1950,4cS2Ya30FLHqNb3hwbtjrJ,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview128/v4/1e/8f/36/1e8f362b-7bdb-e36b-56ab-23c6ba88e969/mzaf_6126087782694673161.plus.aac.p.m4a,I Went To Your Wedding,Patti Page,4nZN9kln8toEzOifhWG2uF,vocal
