,artist,song,decade,track_id,preview_url,track_name,artist_name,artist_id,genres
0,Gene Autry,"Rudolph, The Red-nosed Reindeer",1950,6ymkab3FTjiFzSJwhal59m,,Rudolph The Red-Nosed Reindeer,Gene Autry,5ixB75BQR3ADoWQkcHQJTs,"['adult standards', 'cowboy western', 'oklahoma country', 'traditional country', 'yodeling']"
1,The Andrews Sisters,"I Can Dream, Can't I",1950,4oP8eYnsSKJPC4VNfPB7dZ,,"I Can Dream, Can't I? - Single Version",The Andrews Sisters,2NCGI6dLTxLdI9XHdv7QfM,
2,The Ames Brothers,Rag Mop,1950,0fVtEGoXeRhllDU9ChQAZl,https://p.scdn.co/mp3-preview/ebd8099b71ecd6f15583a733f19227b51aecaf58?cid=b05f690e17ba4b758d92a214cfbc7f24,Rag Mop,The Ames Brothers,4oXaAEofJFedGweFqy5qiv,
3,Red Foley,Chattanoogie Shoe Shine Boy,1950,7Jf323ttHKUnPylFWiaGl3,,Chattanoogie Shoe Shine Boy - 1949 Single Version,Red Foley,56tggwKsz5OqCDf1i0Str9,
4,Teresa Brewer,Music! Music! Music!,1950,0lO5EKoz1Rb1pJoPoldE4D,,(Put Another Nickel In) Music! Music! Music!,Teresa Brewer,2mPL4g4v9DS55zi6QctLbP,"['adult standards', 'deep adult standards']"
5,Eileen Barton,If I Knew You Were Comin' I'd've Baked a Cake,1950,5qhM3qBHEIFvXL8xRe3dhb,https://p.scdn.co/mp3-preview/2a67dda5b5b9681a4ad70b73720c20c8e177825d?cid=b05f690e17ba4b758d92a214cfbc7f24,"If I Knew You Were Comin', I'd've Baked a Cake",Eileen Barton,1illUSH6N5soc068Yerppx,['deep adult standards']
6,Anton Karas,The Third Man Theme,1950,6XzXeNu7FuUttdTwVl0rG1,https://p.scdn.co/mp3-preview/ec2924fb4cdf2ccdfae912463488f6242b6e4f4d?cid=b05f690e17ba4b758d92a214cfbc7f24,The Third Man: The Third Man Theme (The Third Man),Anton Karas,1N6hAy84Nd6KdUhr4BjXWS,
7,Nat King Cole,Mona Lisa,1950,5QZtX7pMnM6oF2vUKCc3U0,https://p.scdn.co/mp3-preview/bfe2f003b5b832d692bd59b34d9b2592e299b809?cid=b05f690e17ba4b758d92a214cfbc7f24,Mona Lisa,Nat King Cole,7v4imS0moSyGdXyLgVTIV7,
8,Gordon Jenkins & His Orchestra,Goodnight Irene,1950,1fhLgOJgIIZEsWWffk8ljs,,Goodnight Irene,Gordon Jenkins & His Orchestra,2zxOdG2ascAD3oLdP03mYU,[]
9,Sammy Kaye,Harbor Lights,1950,5eZPJFk9QBjBM1I2idumCM,https://p.scdn.co/mp3-preview/1a407e4ff1f75e3c5ceaeabd8b4377b9fcc15877?cid=b05f690e17ba4b758d92a214cfbc7f24,Harbor Lights,Sammy Kaye,54LBMS0P9mMkhfxsp73k1D,[]
10,Phil Harris,The Thing,1950,6KEWtSOGKpIXGw6l1uJgsR,,The Things We Do For Love,Phil Harris,3XApZHFQx33QQybeLRYj1g,[]
11,Patti Page,The Tennessee Waltz,1950,5U6spMAvzXQ1ebdIs6TbDy,https://p.scdn.co/mp3-preview/2980c23aca3a94506b1c44ac0da157baa000c30c?cid=b05f690e17ba4b758d92a214cfbc7f24,The Tennessee Waltz,Patti Page,4nZN9kln8toEzOifhWG2uF,"['adult standards', 'brill building pop', 'deep adult standards', 'easy listening', 'lounge']"
12,Perry Como,If,1950,4p6mrb1gCxHkWxbVE2M5DV,https://p.scdn.co/mp3-preview/8617bdc1ba48a04add3462895c69a6fc1ba33a55?cid=b05f690e17ba4b758d92a214cfbc7f24,If I'm Lucky - Remastered,Perry Como,5v8jlSmAQfrkTjAlpUfWtu,
13,Mario Lanza,Be My Love,1950,7bETs6oajlWYVo9ycX74Vp,https://p.scdn.co/mp3-preview/385a96970d1aa7924fc7f53564d4fcdff0dcb16c?cid=b05f690e17ba4b758d92a214cfbc7f24,"Be My Love (From ""The Toast of New Orleans"")",Mario Lanza,6umNMJq7B8UdOVmwPV6PRL,
14,Les Paul,How High The Moon,1950,0onHzLoj8yQbjbHtJzwjBx,,How High The Moon,Les Paul,2hkZGvBotqZ7uBBUnBwmLC,['space age pop']
15,Nat King Cole,Too Young,1950,0D1LMx0zya1EXlj4F9l6Mg,,Too Young To Go Steady - Remastered,Nat King Cole,7v4imS0moSyGdXyLgVTIV7,
16,Rosemary Clooney,Come On-a My House,1950,3GVyT9fBXuEkGs1STo2WHZ,https://p.scdn.co/mp3-preview/7fdfbe675d2c022daa3aa5c29b8fbe45073550a7?cid=b05f690e17ba4b758d92a214cfbc7f24,Come On-A My House,Rosemary Clooney,0NkyXWGxE3WTFixDSJ39PK,
17,Tony Bennett,Because Of You,1950,4EcmCSEL77iVCdhylq0yG2,https://p.scdn.co/mp3-preview/50baec4ddcee6e896505867b6cf2f10e4d3a66c3?cid=b05f690e17ba4b758d92a214cfbc7f24,Because of You (with Percy Faith & His Orchestra),Tony Bennett,2lolQgalUvZDfp5vvVtTYV,
18,Tony Bennett,"Cold, Cold Heart",1950,6V5kMW3vhcduEgFp5TPYsG,https://p.scdn.co/mp3-preview/b126783c93872fa50b809476e2a7453312ad617a?cid=b05f690e17ba4b758d92a214cfbc7f24,"Cold, Cold Heart (with Vicentico)",Tony Bennett,2lolQgalUvZDfp5vvVtTYV,
19,Eddy Howard,Sin (It's No Sin),1950,4cyPBIYP1z47ZIdT7fgDxu,,Sin (It's No) Sin,Eddy Howard,6Vb8yGTdhnyIbGS5evBxbF,
20,Johnnie Ray,Cry,1950,4wnFpRgQu2gLN8d76dYOGr,https://p.scdn.co/mp3-preview/037c591f314a478c7e2d9a6ab7a4b3ee58cf3d40?cid=b05f690e17ba4b758d92a214cfbc7f24,Cry,Johnnie Ray,6SQKNCUKIWjR1pQ1U3PZZq,"['adult standards', 'brill building pop', 'deep adult standards', 'easy listening', 'lounge', 'rock-and-roll']"
21,Kay Starr,Wheel Of Fortune,1950,2FlDxXrsYrza7Mk98NCSIo,,Wheel Of Fortune,Kay Starr,7rpf45DdbpweG51Acze45i,
22,Leroy Anderson,Blue Tango,1950,5eOP7g5BLBpmksOeoFn77Y,https://p.scdn.co/mp3-preview/dd64423e3a08e7ccd461f0169ac9fb8748bb0be4?cid=b05f690e17ba4b758d92a214cfbc7f24,Blue Tango,Leroy Anderson,5YhX2onn51M81v4dSZajlX,
23,Al Martino,Here In My Heart,1950,0mRAY4VhmgEsBvLEFxB6Vm,,Here In My Heart,Al Martino,7egNqIGRldMzifHoh8pib6,
24,Percy Faith,Delicado,1950,2CFMsXx3SRAetoYdtEZNgg,https://p.scdn.co/mp3-preview/c6e67982e894db70bdfd2676c75957d31b8165b5?cid=b05f690e17ba4b758d92a214cfbc7f24,Delicado,Percy Faith,6unIK8JFrGemCge3NIUDKE,"['adult standards', 'ballroom', 'easy listening', 'lounge']"
25,Vera Lynn,Auf Wiederseh'n Sweetheart,1950,3rIhZKroSQQjNcgGQsdaJF,,Auf Wiederseh'n Sweetheart - 2017 Version,Vera Lynn,2rJkmlVHePMo2gk0InTZRS,
26,Jo Stafford,You Belong To Me,1950,7AsR2HcqozArM3uDii35xX,,You Belong To Me,Jo Stafford,1Jqk46QvzUn7SnwmTGX6Cw,"['adult standards', 'big band', 'easy listening', 'lounge', 'swing', 'torch song', 'vocal jazz']"
27,Patti Page,I Went To Your Wedding,1950,4cS2Ya30FLHqNb3hwbtjrJ,,I Went To Your Wedding,Patti Page,4nZN9kln8toEzOifhWG2uF,"['adult standards', 'brill building pop', 'deep adult standards', 'easy listening', 'lounge']"
28,Johnny Standley,It's In The Book (parts 1 & 2),1950,67HAs4WdVmQl4H8AvMDCVB,https://p.scdn.co/mp3-preview/04221457f0ae3945a2a025655ec099ecc4c40991?cid=b05f690e17ba4b758d92a214cfbc7f24,Rock & Roll Must Go (It's in the Book),Johnny Standley,2joTlkHhWGH5fTEztQ6nWL,
29,Joni James,Why Don't You Believe Me,1950,4DD6qTLKWCVZl5fAZDVWOo,https://p.scdn.co/mp3-preview/d49c283641ae27a65097a91d161ffb3adb2410d5?cid=b05f690e17ba4b758d92a214cfbc7f24,Why Don't You Believe Me,Joni James,0hiq5HixjjN3gtSXLZmnBw,"['adult standards', 'deep adult standards', 'easy listening']"
30,Jimmy Boyd,I Saw Mommy Kissing Santa Claus,1950,15sxLiiChE5dCW3Y756oas,,I Saw Mommy Kissing Santa Claus,Jimmy Boyd,0kJqBwZ3YBkEJNRcUC1ewZ,['novelty']
31,Perry Como,Don't Let the Stars Get in Your Eyes,1950,2cwTVrrgHxl4gcHY4IHr18,https://p.scdn.co/mp3-preview/60934fb9e19855eedb64c9e9a12e17efbba2de27?cid=b05f690e17ba4b758d92a214cfbc7f24,Don't Let The Stars Get In Your Eyes,Perry Como,5v8jlSmAQfrkTjAlpUfWtu,
