,artist,song,decade,track_id,preview_url,track_name,artist_name,artist_id,genres
32,Teresa Brewer,Till I Waltz Again With You,1950,0as1riy7crAcnNYnWaxEub,https://p.scdn.co/mp3-preview/10466a5a8fca0dbb647cc5e8d454441f61b9945a?cid=b05f690e17ba4b758d92a214cfbc7f24,Till I Waltz Again with You,Teresa Brewer,2mPL4g4v9DS55zi6QctLbP,"['adult standards', 'deep adult standards']"
33,Patti Page,The Doggie In The Window,1950,7bs4wDnaX0z7BTeM6lTcYA,,(How Much Is That) Doggie In The Window,Patti Page,4nZN9kln8toEzOifhWG2uF,"['adult standards', 'brill building pop', 'deep adult standards', 'easy listening', 'lounge']"
34,Percy Faith,The Song From Moulin Rouge (Where Is Your Heart),1950,6u4RHQpFXlz5iq4Hm0XyrY,https://p.scdn.co/mp3-preview/5b964a150d901690990b730820e32032b7606e47?cid=b05f690e17ba4b758d92a214cfbc7f24,The Song from Moulin Rouge (Where Is Your Heart),Percy Faith,6unIK8JFrGemCge3NIUDKE,"['adult standards', 'ballroom', 'easy listening', 'lounge']"
35,Eddie Fisher,I'm Walking Behind You,1950,2FqOLG4ViICqhx35v8xoBx,,I'm Walking Behind You,Eddie Fisher,6bHSJldq5J4lYowHOm9OOX,
36,Les Paul,Vaya Con Dios (May God Be With You),1950,3qhxI5f7klTVfK0iWYmKdM,,Vaya Con Dios,Les Paul,2hkZGvBotqZ7uBBUnBwmLC,
37,Stan Freberg,St. George And The Dragonet,1950,3q7cXyhLWyYgf5uxZPW9w2,https://p.scdn.co/mp3-preview/cdf5285dcb4f2b4dfa30ba2beaf0010af941f4f0?cid=b05f690e17ba4b758d92a214cfbc7f24,St. George and the Dragon,Stan Freberg,31wLmtRSwO4f50DFG8zv4s,"['comic', 'parody']"
38,Tony Bennett,Rags To Riches,1950,3eNieNIpOWOAUr0f50DCqL,https://p.scdn.co/mp3-preview/3b377b4068dfe646a0b38d6d5e296b69ec522ca9?cid=b05f690e17ba4b758d92a214cfbc7f24,Rags to Riches (with Romeo Santos),Tony Bennett,2lolQgalUvZDfp5vvVtTYV,
39,Eddie Fisher,Oh! My Pa-pa (O Mein Papa),1950,0EIEvpiVxoXEn5GZWvG1RT,https://p.scdn.co/mp3-preview/5b62233a28424cba0c1db66be2a9de086ec8139a?cid=b05f690e17ba4b758d92a214cfbc7f24,Oh! My Pa-Pa (O Mein Papa) - 2001 Remastered,Eddie Fisher,6bHSJldq5J4lYowHOm9OOX,
40,Doris Day,Secret Love,1950,7Hig0uoQDKT1eMVA62sTzd,https://p.scdn.co/mp3-preview/0f65a4e0b48b6a9097fed0fc2d4a42f607bee4f9?cid=b05f690e17ba4b758d92a214cfbc7f24,Secret Love,Doris Day,3ESG6pj6a0LvUKklENalT6,
41,Jo Stafford,Make Love To Me!,1950,1FxxgBVRMCTMqdgEBZIBaI,,Make Love To Me,Jo Stafford,1Jqk46QvzUn7SnwmTGX6Cw,"['adult standards', 'big band', 'easy listening', 'lounge', 'swing', 'torch song', 'vocal jazz']"
42,Perry Como,Wanted,1950,77i95B3GcC2aOqK70RHM0m,https://p.scdn.co/mp3-preview/d0e1d3a4f6824f0276f6ed5f7a6c36c29fdd17ed?cid=b05f690e17ba4b758d92a214cfbc7f24,Wanted (with Henri René & His Orchestra and Chorus),Perry Como,5v8jlSmAQfrkTjAlpUfWtu,
43,Kitty Kallen,Little Things Mean A Lot,1950,221XgJXCVkZ1ERPyfO3OlO,,Little Things Mean A Lot,Kitty Kallen,0EYASMyi33J1ywBDgei1II,"['adult standards', 'deep adult standards', 'torch song']"
44,The Crew Cuts,Sh-Boom,1950,7G2jAmiYUDZKyk7npVrgX8,,Sh-Boom,The Crew Cuts,49ttCh41vxv6R4r8S2YwXv,doo-wop
45,Rosemary Clooney,Hey There,1950,4YQU4nreaVr16nDq1uaI0E,,Hey There,Rosemary Clooney,0NkyXWGxE3WTFixDSJ39PK,
46,Rosemary Clooney,This Ole House,1950,3reMY0PF49alfXMs30c2z4,https://p.scdn.co/mp3-preview/44f0b47dac6fad9328b87413c0d76a8b8277490f?cid=b05f690e17ba4b758d92a214cfbc7f24,This Ole House - Single Version,Rosemary Clooney,0NkyXWGxE3WTFixDSJ39PK,
47,Eddie Fisher,I Need You Now,1950,0gxpt81ZzaX0x72k1NOojB,https://p.scdn.co/mp3-preview/2750fd9fbd64dfae00ee5c8dedf1eb69e7199861?cid=b05f690e17ba4b758d92a214cfbc7f24,I Need You Now - 2001 Remastered,Eddie Fisher,6bHSJldq5J4lYowHOm9OOX,
48,The Chordettes,Mr. Sandman,1950,3zopUGxKy1Uz4cKtDGjZry,https://p.scdn.co/mp3-preview/03edddb749797f651c20914055eb3b1de537bfc6?cid=b05f690e17ba4b758d92a214cfbc7f24,Mr. Sandman - 1954 #1 Billboard chart hit,The Chordettes,62GnBjssWSXBlKvQohT2Bk,pop
49,Joan Weber,"Let Me Go, Lover!",1950,2ghmhqUMZ4Z2GqpwrH8yLj,,"Let Me Go, Lover!",Joan Weber,7E7Tnr0je7c1jaOpD8lUWo,['deep adult standards']
50,The Fontane Sisters,Hearts Of Stone,1950,50Dq4YN1RoHWl8l16jjM2W,https://p.scdn.co/mp3-preview/ace303eb1961ba270f74dc9e25cc4c0a9a238f57?cid=b05f690e17ba4b758d92a214cfbc7f24,Hearts Of Stone,The Fontane Sisters,1Ml4OuStDoympbREURAM15,"['deep adult standards', 'vocal harmony group']"
51,The McGuire Sisters,Sincerely,1950,50AhgOXYVm9ASB6PlKdKk0,,Sincerely,The McGuire Sisters,6oXkzBf6bMupenvf4tKtmN,
52,Bill Hayes,The Ballad Of Davy Crockett,1950,5ZmGoux6Pu8rtfjBWtLR7w,,"The Ballad of Davy Crockett - From ""Frontierland""",Bill Hayes,5IKDTwJ4ayz5TuYfibQ1Yi,[]
53,Pérez Prado,Cherry Pink And Apple Blossom White,1950,5HisVcYPaIB4uHdrnW6HCt,https://p.scdn.co/mp3-preview/6affe5b97a9c47c9dfdcb268d5749f13eaf17709?cid=b05f690e17ba4b758d92a214cfbc7f24,Cherry Pink And Apple Blossom White,Pérez Prado,1ZKhPkCXXgtiGgALn4OYtT,
54,Bill Haley & His Comets,Rock Around The Clock,1950,42yP5D36DoJ7cKKnhnwOZp,,(We're Gonna) Rock Around The Clock - Single Version,Bill Haley & His Comets,3MFp4cYuYtTZe3d3xkLLbr,chanson quebecois
55,Mitch Miller,The Yellow Rose of Texas,1950,7985fUI9WlsIIrQuO9TBDh,https://p.scdn.co/mp3-preview/1abad6dd6b940b5dc9c1aadb54aeca669e28b42f?cid=b05f690e17ba4b758d92a214cfbc7f24,The Yellow Rose of Texas - Single Version,Mitch Miller,0kLeQeOAEqHdFMUItesuij,
56,The Four Aces,Love Is A Many Splendored Thing,1950,23G8P94lKwgXNAKH2z5VP8,https://p.scdn.co/mp3-preview/bcdf117ca542f59f39911f8fd8cb9568daff131c?cid=b05f690e17ba4b758d92a214cfbc7f24,Love Is a Many-Splendored Thing,The Four Aces,542GsScaNnc2Ed8yokKLsy,"['adult standards', 'brill building pop', 'deep adult standards', 'easy listening', 'lounge', 'vocal harmony group']"
57,Roger Williams,Autumn Leaves,1950,4AyqwjnbbWfFLPKL4UUSzU,,Autumn Leaves,Roger Williams,55CCS64lPz88twUDVquU1u,
58,Tennessee Ernie Ford,Sixteen Tons,1950,4KM77RUl2IKdXGhtOBbKIS,,Sixteen Tons,Tennessee Ernie Ford,7u6FSuqT3SWE2kO8rNVjfp,
59,Dean Martin,Memories Are Made Of This,1950,4h0igWYayzteBtSNpWYQ9h,,Memories Are Made Of This,Dean Martin,49e4v89VmlDcFCMyDv9wQ9,
60,Kay Starr,Rock And Roll Waltz,1950,7te9DUttzNePdSlkIgSTdz,https://p.scdn.co/mp3-preview/f96d220d7fb99abfcce78bc6b1c2e8993d3fd27f?cid=b05f690e17ba4b758d92a214cfbc7f24,Rock And Roll Waltz,Kay Starr,7rpf45DdbpweG51Acze45i,
61,Nelson Riddle,Lisbon Antigua,1950,1fazjcfV0fNI14sB1ohQjk,,Lisbon Antigua - Remastered,Nelson Riddle,6PyGlGbMoNqkofF14K4BWb,
62,Les Baxter,Poor People Of Paris,1950,70gZnClysSHCBwI0H4qr5O,,The Poor People Of Paris (Jean's Song) - Single Version,Les Baxter,35pV6EUbherudlvAftoueR,
63,Elvis Presley,Heartbreak Hotel,1950,5FmcPdb3X0v7otb7GkUSkm,https://p.scdn.co/mp3-preview/a666e015c361c1d1be18a1c51b36697ed4199f92?cid=b05f690e17ba4b758d92a214cfbc7f24,Heartbreak Hotel - Live,Elvis Presley,43ZHCT0cAZBISjO8DG9PnE,modern indie pop
64,Gogi Grant,The Wayward Wind,1950,2VqsUEpRPvgiiBdsBuQrJz,https://p.scdn.co/mp3-preview/ce43319b99a7cf35c1d00a6f3c1f0669ac53f8dd?cid=b05f690e17ba4b758d92a214cfbc7f24,The Wayward Wind,Gogi Grant,2Ak3GNswCQfRKDs3P8uWaQ,deep adult standards
65,Elvis Presley,"I Want You, I Need You, I Love You",1950,60tEaPHRJLnMzbyOPTeh3A,https://p.scdn.co/mp3-preview/2821fcc2eb2ae761550ffc25af9446492e9ed5f2?cid=b05f690e17ba4b758d92a214cfbc7f24,"I Want You, I Need You, I Love You",Elvis Presley,43ZHCT0cAZBISjO8DG9PnE,
66,The Platters,My Prayer,1950,1ntGJDSakqsaw1KhptKrB5,,My Prayer,The Platters,6KWcxMWVNVIYbdOQyJtsSy,
67,Elvis Presley,Don't Be Cruel,1950,01u6AEzGbGbQyYVdxajxqk,https://p.scdn.co/mp3-preview/55f71e5caaccf649dd8c1ab9742cd0c09e1e65e7?cid=b05f690e17ba4b758d92a214cfbc7f24,Don't Be Cruel,Elvis Presley,43ZHCT0cAZBISjO8DG9PnE,
68,Elvis Presley,Love Me Tender,1950,7LSGjWtza5Y8itm6Cpbj1s,https://p.scdn.co/mp3-preview/7ae10cad3fd7634f1240863c9e530dc0d3829416?cid=b05f690e17ba4b758d92a214cfbc7f24,Love Me Tender,Elvis Presley,43ZHCT0cAZBISjO8DG9PnE,
69,Guy Mitchell,Singing The Blues,1950,084mnrInuL8H1JZbIzuH3T,https://p.scdn.co/mp3-preview/9e720e65f1857d2953770ff20b26121cfacabca8?cid=b05f690e17ba4b758d92a214cfbc7f24,Singing the Blues,Guy Mitchell,1YAtBHWaWzZnkaoSFHGTBV,
70,Elvis Presley,Too Much,1950,3nmKGD8CoBOYRcuG6c3iw3,https://p.scdn.co/mp3-preview/93abc5cc6c190d0a6ec4ae0b2dacb210bc21cc59?cid=b05f690e17ba4b758d92a214cfbc7f24,Too Much,Elvis Presley,43ZHCT0cAZBISjO8DG9PnE,
71,Tab Hunter,Young Love,1950,53Twix2laakfedihbu7GkK,https://p.scdn.co/mp3-preview/b02feef5eca5cea1a3cf9e76f034110970d3b571?cid=b05f690e17ba4b758d92a214cfbc7f24,Young Love,Tab Hunter,0pVnnK639XgJiMuv10JLRe,['deep adult standards']
72,Buddy Knox,Party Doll,1950,3SNEFR9U8CCEUN3iZfkVgW,https://p.scdn.co/mp3-preview/a00758d28035267bbe10b64027b75a1706fca277?cid=b05f690e17ba4b758d92a214cfbc7f24,Party Doll,Buddy Knox,0b5Tz3szM4KK8esFKV2Zsb,
73,Perry Como,Round And Round,1950,0rvQGHLd67prV6eYat1ZX4,https://p.scdn.co/mp3-preview/9155b0ecb7c4a520fd5c91bcc3ecc35a699e2a5b?cid=b05f690e17ba4b758d92a214cfbc7f24,Round And Round - Remastered - 1992,Perry Como,5v8jlSmAQfrkTjAlpUfWtu,
74,Elvis Presley,All Shook Up,1950,5ueyLj6e6oVaTY0KQ6yLaA,https://p.scdn.co/mp3-preview/8a379079e4bd03c72cc847ec1ea58f0a332d16ef?cid=b05f690e17ba4b758d92a214cfbc7f24,All Shook Up,Elvis Presley,43ZHCT0cAZBISjO8DG9PnE,
75,Pat Boone,Love Letters In The Sand,1950,1eqGYJJr2z2GXK1i0hD3BC,,Love Letters In The Sand - Single Version,Pat Boone,7fmKtIgmxqNEKjATioVNsu,
76,Elvis Presley,(Let Me Be Your) Teddy Bear,1950,4FjkmQ9JYaIeh1NxeLEO80,https://p.scdn.co/mp3-preview/8835c3cee8f851ab36813c7a7e715c21e86731ad?cid=b05f690e17ba4b758d92a214cfbc7f24,(Let Me Be Your) Teddy Bear,Elvis Presley,43ZHCT0cAZBISjO8DG9PnE,
77,Debbie Reynolds,Tammy,1950,4O7gi7IulJLUFSkAOHosFV,,Tammy,Debbie Reynolds,4Zf0pLGYwNB86Y97kisvkn,vintage hollywood
78,Paul Anka,Diana,1950,6PwgMjWyQJBryRlXiPVXDM,https://p.scdn.co/mp3-preview/a9082db807fbc569109f593cfa18c2ee1b3b5992?cid=b05f690e17ba4b758d92a214cfbc7f24,Anka Medley: Diana / Put Your Head on My Shoulders / Lonely Boy / Puppy Love / A Steel Guitar and a Glass of Wine / You Are My Destiny,Paul Anka,7ceUfdWq2t5nbatS6ollHh,brooklyn drill
79,The Crickets,That'll Be The Day,1950,5QhTqiCkc69dOlTOK1cj4p,,That'll Be The Day - Single Version,The Crickets,4r7JUeiYy24L7BuzCq9EjR,
80,Jimmie Rodgers,Honeycomb,1950,7MqkjX5YCXhazcaAlHvPmJ,https://p.scdn.co/mp3-preview/f573449e3c268f90c2109ab0663161219f16e3a1?cid=b05f690e17ba4b758d92a214cfbc7f24,Honeycomb - Single Version,Jimmie Rodgers,7bKOOOKEkE918wKOQEhYnp,brill building pop
81,The Everly Brothers,Wake Up Little Susie,1950,11fNLqDB47gMKj7BHhR2Qr,https://p.scdn.co/mp3-preview/7af0b0e4d8adc4df9ca18b597f6f279ea4419f0b?cid=b05f690e17ba4b758d92a214cfbc7f24,Wake up Little Susie,The Everly Brothers,4ACplpEqD6JIVgKrafauzs,
82,Elvis Presley,Jailhouse Rock,1950,4gphxUgq0JSFv2BCLhNDiE,https://p.scdn.co/mp3-preview/29990f669b5328b6c40320596a2b14d8660cdb54?cid=b05f690e17ba4b758d92a214cfbc7f24,Jailhouse Rock,Elvis Presley,43ZHCT0cAZBISjO8DG9PnE,
83,Sam Cooke,You Send Me,1950,5aivQ5CkXXHJoMLy0o92HL,https://p.scdn.co/mp3-preview/663274e9f6673b6e509731dd3aedb9b8163f126b?cid=b05f690e17ba4b758d92a214cfbc7f24,You Send Me,Sam Cooke,6hnWRPzGGKiapVX1UCdEAC,
84,Pat Boone,April Love,1950,5ax1MN2MGW0ZJXquCkpuLM,,April Love,Pat Boone,7fmKtIgmxqNEKjATioVNsu,
85,Danny & The Juniors,At The Hop,1950,4LcrHUkRmXG3c0YD5VYutn,,At The Hop,Danny & The Juniors,6Ahm6X9wSKXitavOvu0XzY,
86,Elvis Presley,Don't,1950,0nKb6gYFt0jgs6c2nmqvSm,https://p.scdn.co/mp3-preview/6889b7adc90ba199b6827c508197ffb553c1a6b4?cid=b05f690e17ba4b758d92a214cfbc7f24,Don't Ask Me Why,Elvis Presley,43ZHCT0cAZBISjO8DG9PnE,
87,The Champs,Tequila,1950,2gWAdYak6pGXWDG9phdesr,https://p.scdn.co/mp3-preview/05a366e306588bbe1fb13bf59cf6a2ebdfdda219?cid=b05f690e17ba4b758d92a214cfbc7f24,Too Much Tequila,The Champs,3yt4IVDHz0luREG9Uf9xrp,
88,The Platters,Twilight Time,1950,3MpGQae6zAFd7Z1FdLV9fV,,Twilight Time - Single Version,The Platters,6KWcxMWVNVIYbdOQyJtsSy,
89,David Seville,Witch Doctor,1950,4kovpzSYYoguJxUXQesQ13,https://p.scdn.co/mp3-preview/466478c3f3233593e4b8b373ec6a0a61a7fb2d04?cid=b05f690e17ba4b758d92a214cfbc7f24,Witch Doctor,David Seville,4NI5R1DbX27ODY5JTqnv2l,novelty
90,The Everly Brothers,All I Have To Do Is Dream,1950,7dblNGnRXEBrVJunazs2U5,https://p.scdn.co/mp3-preview/94d2e6419c9d667516870658f5d855e93ee482fd?cid=b05f690e17ba4b758d92a214cfbc7f24,All I Have to Do Is Dream,The Everly Brothers,4ACplpEqD6JIVgKrafauzs,
91,Sheb Wooley,The Purple People Eater,1950,0WkZQPNC0c7yrsMX1arVAd,,The Purple People Eater,Sheb Wooley,2dOTS74R4yPISc7AVU9QzD,
92,Elvis Presley,Hard Headed Woman,1950,1cbtxiinXdEZcpi6uFchdL,https://p.scdn.co/mp3-preview/7a0906d5e2b0315eaa8e87750b1150e0c0d5b3f7?cid=b05f690e17ba4b758d92a214cfbc7f24,Hard Headed Woman,Elvis Presley,43ZHCT0cAZBISjO8DG9PnE,
93,Ricky Nelson,Poor Little Fool,1950,5ayybTSXNwcarDtxQKqvWX,,Poor Little Fool - Remastered,Ricky Nelson,73sSFVlM6pkweLXE8qw1OS,
94,Domenico Modugno,Volare (Nel blu dipinto di blu),1950,7eFkppJ0SqfLsI9zj8Oeva,https://p.scdn.co/mp3-preview/9f222782398f1222e84963647859a6e4857390b3?cid=b05f690e17ba4b758d92a214cfbc7f24,Volare (Nel Blu Dipinto Di Blu),Domenico Modugno,4llklDtTTyMYMY2LfFOkTI,"['classic italian pop', 'italian pop']"
95,The Elegants,Little Star,1950,3TNrQsWjct0FOBxm3Yt8Bq,https://p.scdn.co/mp3-preview/6e7a5d795c3dedaad04954cbaf20e7fc41233936?cid=b05f690e17ba4b758d92a214cfbc7f24,Little Star,The Elegants,7bNoMfBqbaLJrfH3Vw1q6L,
96,Tommy Edwards,It's All in the Game,1950,2lmPUdIdzlFH64PWJrw6Zb,,It's All In The Game,Tommy Edwards,1ObAu0tz0NlOI6FNHTXchD,
97,Conway Twitty,It's Only Make Believe,1950,1xVOttVNT27FBTD8iHjOfU,,It's Only Make Believe,Conway Twitty,7gi3jmwpUpNWdswT8eEprF,
98,The Kingston Trio,Tom Dooley,1950,2qLxtO0iaFGI9x19vU3bDI,,Tom Dooley,The Kingston Trio,3qtcbDvdIgQOXkPbtRvBaQ,
99,The Teddy Bears,To Know Him Is to Love Him,1950,1nnUPkQWOcXl5OCKStXnls,https://p.scdn.co/mp3-preview/3cb52452de876754bacb663d2a5e142de37926db?cid=b05f690e17ba4b758d92a214cfbc7f24,To Know Him Is To Love Him,The Teddy Bears,2qfze6v2h0uc0e2ABp7z3a,[]
100,Alvin & The Chipmunks,The Chipmunk Song,1950,7mZwaEEaHSeTYC2hTAjUki,,The Chipmunk Song (Christmas Don't Be Late) - Remastered 1999,Alvin & The Chipmunks,1SCWcYnoEh1978ycTDhZoW,children's music
101,The Platters,Smoke Gets in Your Eyes,1950,2vSxjnyrWrtxyfzO47EX6q,,Smoke Gets In Your Eyes,The Platters,6KWcxMWVNVIYbdOQyJtsSy,
102,Lloyd Price,Stagger Lee,1950,4MUGG9mgDUP8dlaS3AAeg0,,Stagger Lee,Lloyd Price,3iOE5ItEv5xr9fmKi7GNh2,
