,1950,1960,1970,1980,1990,2000,2010
1950,1.0,1.0,0.0001634882480903518,2.164563098467393e-08,3.105014015862074e-09,3.4562126718894677e-16,2.510371173430585e-16
1960,1.0,1.0,0.012196424302409296,1.5687184588933923e-06,2.3674849490412364e-07,1.1102115141604574e-14,9.208291583422144e-15
1970,0.0001634882480903518,0.012196424302409296,1.0,0.7060446434215801,0.08404546291782253,1.127889494894208e-06,6.169084044227773e-07
1980,2.164563098467393e-08,1.5687184588933923e-06,0.7060446434215801,1.0,1.0,0.006835488576696812,0.003499037227400716
1990,3.105014015862074e-09,2.3674849490412364e-07,0.08404546291782253,1.0,1.0,0.40809017494316585,0.23428298974681158
2000,3.4562126718894677e-16,1.1102115141604574e-14,1.127889494894208e-06,0.006835488576696812,0.40809017494316585,1.0,1.0
2010,2.510371173430585e-16,9.208291583422144e-15,6.169084044227773e-07,0.003499037227400716,0.23428298974681158,1.0,1.0
