,1950,1960,1970,1980,1990,2000,2010
1950,1.0,5.8769437384801e-07,1.4363366953972513e-09,1.2935362389769366e-19,7.112285066743451e-12,1.6322761870132435e-23,1.5937975974708322e-20
1960,5.8769437384801e-07,1.0,1.0,0.00024360221161979904,0.3136126420686706,5.5113106980687136e-08,2.673040724917874e-06
1970,1.4363366953972513e-09,1.0,1.0,0.0045333982813431034,1.0,1.331346885513459e-06,4.8592383217796165e-05
1980,1.2935362389769366e-19,0.00024360221161979904,0.0045333982813431034,1.0,1.0,0.49914181314933687,1.0
1990,7.112285066743451e-12,0.3136126420686706,1.0,1.0,1.0,0.020181413272982295,0.11863507203333815
2000,1.6322761870132435e-23,5.5113106980687136e-08,1.331346885513459e-06,0.49914181314933687,0.020181413272982295,1.0,1.0
2010,1.5937975974708322e-20,2.673040724917874e-06,4.8592383217796165e-05,1.0,0.11863507203333815,1.0,1.0
