,1950,1960,1970,1980,1990,2000,2010
1950,1.0,0.025445154400940355,0.018722099834992068,1.0,1.0,1.0,1.0
1960,0.025445154400940355,1.0,1.0,0.018383114455331383,4.363104303174582e-05,0.0823294361673983,0.0001000491671927611
1970,0.018722099834992068,1.0,1.0,0.010802782560907304,1.9046050198064184e-05,0.06369619599194071,5.1423935378298375e-05
1980,1.0,0.018383114455331383,0.010802782560907304,1.0,1.0,1.0,1.0
1990,1.0,4.363104303174582e-05,1.9046050198064184e-05,1.0,1.0,1.0,1.0
2000,1.0,0.0823294361673983,0.06369619599194071,1.0,1.0,1.0,1.0
2010,1.0,0.0001000491671927611,5.1423935378298375e-05,1.0,1.0,1.0,1.0
