,Date,Artist,Song
0,"August 4, 1958",Ricky Nelson,Poor Little Fool
1,"August 18, 1958",Domenico Modugno,Volare (Nel blu dipinto di blu)
2,"August 25, 1958",The Elegants,Little Star
3,"September 29, 1958",Tommy Edwards,It's All in the Game
4,"November 10, 1958",Conway Twitty,It's Only Make Believe
5,"November 17, 1958",The Kingston Trio,Tom Dooley
6,"December 1, 1958",The Teddy Bears,To Know Him Is to Love Him
7,"December 22, 1958",The Chipmunks,The Chipmunk Song
8,"January 19, 1959",The Platters,Smoke Gets in Your Eyes
9,"February 9, 1959",Lloyd Price,Stagger Lee
10,"March 9, 1959",Frankie Avalon,Venus
11,"April 13, 1959",The Fleetwoods,Come Softly to Me
12,"May 11, 1959","Dave ""Baby"" Cortez",The Happy Organ
13,"May 18, 1959",Wilbert Harrison,Kansas City
14,"June 1, 1959",Johnny Horton,The Battle of New Orleans
15,"July 13, 1959",Paul Anka,Lonely Boy
16,"August 10, 1959",Elvis Presley,A Big Hunk o' Love
17,"August 24, 1959",The Browns,The Three Bells
18,"September 21, 1959",Santo & Johnny,Sleep Walk
19,"October 5, 1959",Bobby Darin,Mack the Knife
20,"November 16, 1959",The Fleetwoods,Mr. Blue
21,"December 14, 1959",Guy Mitchell,Heartaches by the Number
22,"December 28, 1959",Frankie Avalon,Why
23,"January 4, 1960",Marty Robbins,El Paso
24,"January 18, 1960",Johnny Preston,Running Bear
25,"February 8, 1960",Mark Dinning,Teen Angel
26,"February 22, 1960",Percy Faith,Theme from 'A Summer Place'
27,"April 25, 1960",Elvis Presley,Stuck on You
28,"May 23, 1960",The Everly Brothers,Cathy's Clown
29,"June 27, 1960",Connie Francis,Everybody's Somebody's Fool
30,"July 11, 1960",Hollywood Argyles,Alley-Oop
31,"July 18, 1960",Brenda Lee,I'm Sorry
32,"August 8, 1960",Brian Hyland,Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini
33,"August 15, 1960",Elvis Presley,It's Now or Never
34,"September 19, 1960",Chubby Checker,The Twist
35,"September 26, 1960",Connie Francis,My Heart Has a Mind of Its Own
36,"October 10, 1960",Larry Verne,Mr. Custer
37,"October 17, 1960",The Drifters,Save the Last Dance for Me
38,"October 24, 1960",Brenda Lee,I Want to Be Wanted
39,"November 14, 1960",Ray Charles,Georgia on My Mind
40,"November 21, 1960",Maurice Williams and the Zodiacs,Stay
41,"November 28, 1960",Elvis Presley,Are You Lonesome Tonight?
42,"January 9, 1961",Bert Kaempfert,Wonderland by Night
43,"January 30, 1961",The Shirelles,Will You Love Me Tomorrow
44,"February 13, 1961",Lawrence Welk,Calcutta
45,"February 27, 1961",Chubby Checker,Pony Time
46,"March 20, 1961",Elvis Presley,Surrender
47,"April 3, 1961",The Marcels,Blue Moon
48,"April 24, 1961",Del Shannon,Runaway
49,"May 22, 1961",Ernie K-Doe,Mother-in-Law
50,"May 29, 1961",Ricky Nelson,Travelin' Man
51,"June 5, 1961",Roy Orbison,Running Scared
52,"June 19, 1961",Pat Boone,Moody River
53,"June 26, 1961",Gary U.S. Bonds,Quarter to Three
54,"July 10, 1961",Bobby Lewis,Tossin' and Turnin'
55,"August 28, 1961",Joe Dowell,Wooden Heart (Muss I Denn)
56,"September 4, 1961",The Highwaymen,Michael
57,"September 18, 1961",Bobby Vee,Take Good Care of My Baby
58,"October 9, 1961",Ray Charles,Hit the Road Jack
59,"October 23, 1961",Dion,Runaround Sue
60,"November 6, 1961",Jimmy Dean,Big Bad John
61,"December 11, 1961",The Marvelettes,Please Mr. Postman
62,"December 18, 1961",The Tokens,The Lion Sleeps Tonight
63,"January 13, 1962",Chubby Checker,The Twist
64,"January 27, 1962",Joey Dee and the Starliters,Peppermint Twist
65,"February 17, 1962",Gene Chandler,Duke of Earl
66,"March 10, 1962",Bruce Channel,Hey! Baby
67,"March 31, 1962",Connie Francis,Don't Break the Heart That Loves You
68,"April 7, 1962",Shelley Fabares,Johnny Angel
69,"April 21, 1962",Elvis Presley,Good Luck Charm
70,"May 5, 1962",The Shirelles,Soldier Boy
71,"May 26, 1962",Mr. Acker Bilk,Stranger on the Shore
72,"June 2, 1962",Ray Charles,I Can't Stop Loving You
73,"July 7, 1962",David Rose,The Stripper
74,"July 14, 1962",Bobby Vinton,Roses Are Red (My Love)
75,"August 11, 1962",Neil Sedaka,Breaking Up Is Hard to Do
76,"August 25, 1962",Little Eva,The Loco-Motion
77,"September 1, 1962",Tommy Roe,Sheila
78,"September 15, 1962",The Four Seasons,Sherry
79,"October 20, 1962","Bobby ""Boris"" Pickett and the Crypt-Kickers",Monster Mash
80,"November 3, 1962",The Crystals,He's a Rebel
81,"November 17, 1962",The Four Seasons,Big Girls Don't Cry
82,"December 22, 1962",The Tornados,Telstar
83,"January 12, 1963",Steve Lawrence,Go Away Little Girl
84,"January 26, 1963",The Rooftop Singers,Walk Right In
85,"February 9, 1963",Paul & Paula,Hey Paula
86,"March 2, 1963",The Four Seasons,Walk Like A Man
87,"March 23, 1963",Ruby & the Romantics,Our Day Will Come
88,"March 30, 1963",The Chiffons,He's So Fine
89,"April 27, 1963",Little Peggy March,I Will Follow Him
90,"May 18, 1963",Jimmy Soul,If You Wanna Be Happy
91,"June 1, 1963",Lesley Gore,It's My Party
92,"June 15, 1963",Kyu Sakamoto,Sukiyaki
93,"July 6, 1963",The Essex,Easier Said Than Done
94,"July 20, 1963",Jan and Dean,Surf City
95,"August 3, 1963",The Tymes,So Much in Love
96,"August 10, 1963",Little Stevie Wonder,Fingertips
97,"August 31, 1963",The Angels,My Boyfriend's Back
98,"September 21, 1963",Bobby Vinton,Blue Velvet
99,"October 12, 1963",Jimmy Gilmer and the Fireballs,Sugar Shack
100,"November 16, 1963",Nino Tempo,Deep Purple
101,"November 23, 1963",Dale & Grace,I'm Leaving It Up to You
102,"December 7, 1963",The Singing Nun,Dominique
103,"January 4, 1964",Bobby Vinton,There! I've Said It Again
104,"February 1, 1964",The Beatles,I Want to Hold Your Hand
105,"March 21, 1964",The Beatles,She Loves You
106,"April 4, 1964",The Beatles,Can't Buy Me Love
107,"May 9, 1964",Louis Armstrong,"Hello, Dolly!"
108,"May 16, 1964",Mary Wells,My Guy
109,"May 30, 1964",The Beatles,Love Me Do
110,"June 6, 1964",The Dixie Cups,Chapel of Love
111,"June 27, 1964",Peter and Gordon,A World Without Love
112,"July 4, 1964",The Beach Boys,I Get Around
113,"July 18, 1964",The Four Seasons,Rag Doll
114,"August 1, 1964",The Beatles,A Hard Day's Night
115,"August 15, 1964",Dean Martin,Everybody Loves Somebody
116,"August 22, 1964",The Supremes,Where Did Our Love Go
117,"September 5, 1964",The Animals,The House of the Rising Sun
118,"September 26, 1964",Roy Orbison,"Oh, Pretty Woman"
119,"October 17, 1964",Manfred Mann,Do Wah Diddy Diddy
120,"October 31, 1964",The Supremes,Baby Love
121,"November 28, 1964",The Shangri-Las,Leader of the Pack
122,"December 5, 1964",Lorne Greene,Ringo
123,"December 12, 1964",Bobby Vinton,Mr. Lonely
124,"December 19, 1964",The Supremes,Come See About Me
125,"December 26, 1964",The Beatles,I Feel Fine
126,"January 23, 1965",Petula Clark,Downtown
127,"February 6, 1965",The Righteous Brothers,You've Lost That Lovin' Feelin'
128,"February 20, 1965",Gary Lewis & The Playboys,This Diamond Ring
129,"March 6, 1965",The Temptations,My Girl
130,"March 13, 1965",The Beatles,Eight Days a Week
131,"March 27, 1965",The Supremes,Stop! In the Name of Love
132,"April 10, 1965",Freddie and the Dreamers,I'm Telling You Now
133,"April 24, 1965",Wayne Fontana & The Mindbenders,Game of Love
134,"May 1, 1965",Herman's Hermits,"Mrs. Brown, You've Got a Lovely Daughter"
135,"May 22, 1965",The Beatles,Ticket to Ride
136,"May 29, 1965",The Beach Boys,Help Me Rhonda
137,"June 12, 1965",The Supremes,Back in My Arms Again
138,"June 19, 1965",Four Tops,"I Can't Help Myself (Sugar Pie, Honey Bunch)"
139,"June 26, 1965",The Byrds,Mr. Tambourine Man
