,Date,Artist,Song
58,"September 6, 2014",Taylor Swift,"""Shake It Off"""
59,"September 20, 2014",Meghan Trainor,"""All About That Bass"""
60,"November 29, 2014",Taylor Swift,"""Blank Space"""
61,"January 17, 2015",Mark Ronson featuring Bruno Mars,"""Uptown Funk"" [70]"
62,"April 25, 2015",Wiz Khalifa featuring Charlie Puth,"""See You Again"""
63,"June 6, 2015",Taylor Swift featuring Kendrick Lamar,"""Bad Blood"""
64,"July 25, 2015",Omi,"""Cheerleader"""
65,"August 22, 2015",The Weeknd,"""Can't Feel My Face"""
66,"September 19, 2015",Justin Bieber,"""What Do You Mean?"""
67,"October 3, 2015",The Weeknd,"""The Hills"""
68,"November 14, 2015",Adele,"""Hello"""
69,"January 23, 2016",Justin Bieber,"""Sorry"""
70,"February 13, 2016",Justin Bieber,"""Love Yourself"" [80]"
71,"February 20, 2016",Zayn,"""Pillowtalk"""
72,"March 5, 2016",Rihanna featuring Drake,"""Work"""
73,"May 7, 2016",Desiigner,"""Panda"""
74,"May 21, 2016",Drake featuring WizKid and Kyla,"""One Dance"""
75,"May 28, 2016",Justin Timberlake,"""Can't Stop the Feeling!"""
76,"August 6, 2016",Sia featuring Sean Paul,"""Cheap Thrills"""
77,"September 3, 2016",The Chainsmokers featuring Halsey,"""Closer"""
78,"November 26, 2016",Rae Sremmurd featuring Gucci Mane,"""Black Beatles"""
79,"January 7, 2017",The Weeknd featuring Daft Punk,"""Starboy"""
80,"January 21, 2017",Migos featuring Lil Uzi Vert,"""Bad and Boujee"""
81,"January 28, 2017",Ed Sheeran,"""Shape of You"" [92]"
82,"May 6, 2017",Kendrick Lamar,"""Humble"""
83,"May 13, 2017",Bruno Mars,"""That's What I Like"""
84,"May 20, 2017","DJ Khaled featuring Justin Bieber, Quavo, Chance the Rapper and Lil Wayne","""I'm the One"""
85,"May 27, 2017",Luis Fonsi and Daddy Yankee featuring Justin Bieber,"""Despacito"""
86,"September 16, 2017",Taylor Swift,"""Look What You Made Me Do"""
87,"October 7, 2017",Cardi B,"""Bodak Yellow"""
88,"October 28, 2017",Post Malone featuring 21 Savage,"""Rockstar"""
89,"December 23, 2017",Ed Sheeran solo or duet with Beyoncé1,"""Perfect"""
90,"January 27, 2018",Camila Cabello featuring Young Thug,"""Havana"""
91,"February 3, 2018",Drake,"""God's Plan"" [103]"
92,"April 21, 2018",Drake,"""Nice for What"""
93,"May 19, 2018",Childish Gambino,"""This Is America"""
94,"June 16, 2018",Post Malone featuring Ty Dolla Sign,"""Psycho"""
95,"June 30, 2018",XXXTentacion,"""Sad!"""
96,"July 7, 2018","Cardi B, Bad Bunny and J Balvin","""I Like It"""
97,"July 21, 2018",Drake,"""In My Feelings"""
98,"September 29, 2018",Maroon 5 featuring Cardi B,"""Girls Like You"""
99,"November 17, 2018",Ariana Grande,"""Thank U, Next"""
100,"December 8, 2018",Travis Scott,"""Sicko Mode"""
101,"January 12, 2019",Halsey,"""Without Me"""
102,"January 19, 2019",Post Malone and Swae Lee,"""Sunflower"""
103,"February 2, 2019",Ariana Grande,"""7 Rings"""
104,"March 9, 2019",Lady Gaga and Bradley Cooper,"""Shallow"""
105,"March 16, 2019",Jonas Brothers,"""Sucker"""
106,"April 13, 2019",Lil Nas X solo or featuring Billy Ray Cyrus2,"""Old Town Road""  [119]"
107,"August 24, 2019",Billie Eilish,"""Bad Guy"""
108,"August 31, 2019",Shawn Mendes and Camila Cabello,"""Señorita"""
109,"September 7, 2019",Lizzo,"""Truth Hurts"""
110,"October 19, 2019",Travis Scott,"""Highest in the Room"""
111,"November 2, 2019",Lewis Capaldi,"""Someone You Loved"""
112,"November 9, 2019",Selena Gomez,"""Lose You to Love Me"""
113,"November 30, 2019",Post Malone,"""Circles"""
114,"December 14, 2019",The Weeknd,"""Heartless"""
115,"December 21, 2019",Mariah Carey,"""All I Want for Christmas Is You"""
