,Date,Artist,Song
0,"January 2, 2010",Kesha,"""Tik Tok"" [3]"
1,"March 6, 2010",The Black Eyed Peas,"""Imma Be"""
2,"March 20, 2010",Taio Cruz featuring Ludacris,"""Break Your Heart"""
3,"March 27, 2010",Rihanna,"""Rude Boy"""
4,"May 1, 2010",B.o.B featuring Bruno Mars,"""Nothin' on You"""
5,"May 15, 2010",Usher featuring will.i.am,"""OMG"""
6,"May 22, 2010",Eminem,"""Not Afraid"""
7,"June 19, 2010",Katy Perry featuring Snoop Dogg,"""California Gurls"""
8,"July 31, 2010",Eminem featuring Rihanna,"""Love the Way You Lie"""
9,"September 18, 2010",Katy Perry,"""Teenage Dream"""
10,"October 2, 2010",Bruno Mars,"""Just the Way You Are"""
11,"October 30, 2010",Far East Movement featuring The Cataracs and Dev,"""Like a G6"""
12,"November 13, 2010",Kesha,"""We R Who We R"""
13,"November 20, 2010",Rihanna featuring Drake,"""What's My Name?"""
14,"December 4, 2010",Rihanna,"""Only Girl (In the World)"""
15,"December 11, 2010",Pink,"""Raise Your Glass"""
16,"December 18, 2010",Katy Perry,"""Firework"""
17,"January 8, 2011",Bruno Mars,"""Grenade"""
18,"January 29, 2011",Britney Spears,"""Hold It Against Me"""
19,"February 19, 2011",Wiz Khalifa,"""Black and Yellow"""
20,"February 26, 2011",Lady Gaga,"""Born This Way"""
21,"April 9, 2011",Katy Perry featuring Kanye West,"""E.T."""
22,"April 30, 2011",Rihanna featuring Britney Spears[26],"""S&M"""
23,"May 21, 2011",Adele,"""Rolling in the Deep"" [28]"
24,"July 9, 2011","Pitbull featuring Ne-Yo, Afrojack and Nayer","""Give Me Everything"""
25,"July 16, 2011",LMFAO featuring Lauren Bennett and GoonRock,"""Party Rock Anthem"""
26,"August 27, 2011",Katy Perry,"""Last Friday Night (T.G.I.F.)"""
27,"September 10, 2011",Maroon 5 featuring Christina Aguilera,"""Moves Like Jagger"""
28,"September 17, 2011",Adele,"""Someone Like You"""
29,"November 12, 2011",Rihanna featuring Calvin Harris,"""We Found Love"""
30,"January 7, 2012",LMFAO,"""Sexy and I Know It"""
31,"February 4, 2012",Adele,"""Set Fire to the Rain"""
32,"February 18, 2012",Kelly Clarkson,"""Stronger (What Doesn't Kill You)"""
33,"March 3, 2012",Katy Perry,"""Part of Me"""
34,"March 17, 2012",Fun featuring Janelle Monáe,"""We Are Young"""
35,"April 28, 2012",Gotye featuring Kimbra,"""Somebody That I Used to Know"" [41]"
36,"June 23, 2012",Carly Rae Jepsen,"""Call Me Maybe"""
37,"August 25, 2012",Flo Rida,"""Whistle"""
38,"September 1, 2012",Taylor Swift,"""We Are Never Ever Getting Back Together"""
39,"September 29, 2012",Maroon 5,"""One More Night"""
40,"December 1, 2012",Rihanna,"""Diamonds"""
41,"December 22, 2012",Bruno Mars,"""Locked Out of Heaven"""
42,"February 2, 2013",Macklemore & Ryan Lewis featuring Wanz,"""Thrift Shop"" [49]"
43,"March 2, 2013",Baauer,"""Harlem Shake"""
44,"April 20, 2013",Bruno Mars,"""When I Was Your Man"""
45,"April 27, 2013",Pink featuring Nate Ruess,"""Just Give Me a Reason"""
46,"May 18, 2013",Macklemore & Ryan Lewis featuring Ray Dalton,"""Can't Hold Us"""
47,"June 22, 2013",Robin Thicke featuring T.I. and Pharrell,"""Blurred Lines"""
48,"September 14, 2013",Katy Perry,"""Roar"""
49,"September 28, 2013",Miley Cyrus,"""Wrecking Ball"""
50,"October 12, 2013",Lorde,"""Royals"""
51,"December 21, 2013",Eminem featuring Rihanna,"""The Monster"""
52,"January 18, 2014",Pitbull featuring Kesha,"""Timber"""
53,"February 8, 2014",Katy Perry featuring Juicy J,"""Dark Horse"""
54,"March 8, 2014",Pharrell Williams,"""Happy"" [62]"
55,"May 17, 2014",John Legend,"""All of Me"""
56,"June 7, 2014",Iggy Azalea featuring Charli XCX,"""Fancy"""
57,"July 26, 2014",Magic!,"""Rude"""
